,abstract,author,date,headline,section,source,word_count,id,candidate,rating
22283,President Obama is known to play a game of basketball for luck on days he faces an electoral contest. Tuesday was no different.,HELENE COOPER,11/7/2012,"A Bit of Quiet Optimism, and Some Superstition, at Obama Headquarters",U.S. / Politics,The New York Times,803,22283,Obama,1
24670,"The boost now could be even more significant, given the historic importance of the death of bin Laden and the emotional strains from Sept. 11 that remain just below the surface of American life.Republican pollster Bill McInturff said his analysis of the impact of major foreign policy successes in previous administrations points to a rise in Obama's approval rating of about 13 percentage points that could last four to five months before beginning to reverse.","Balz, Dan",5/3/2011,"A boost for Obama, but economic challenges remain",A-SECTION,Washington Post,1127,24670,Obama,1
25362,"The boost now could be even more significant, given the historic importance of the death of bin Laden and the emotional strains from Sept. 11 that remain just below the surface of American life.Republican pollster Bill McInturff said his analysis of the impact of major foreign policy successes in previous administrations points to a rise in Obama's approval rating of about 13 percentage points that could last four to five months before beginning to reverse.","Balz, Dan",5/3/2011,"A boost for Obama, but economic challenges remain",A-SECTION,Washington Post,1127,25362,Obama,1
23911,"According to the Daily News Journal of Murfreesboro, Tenn.: ""He . . . will be presiding over a pro-forma session of Congress Oct. 11 in Washington, D.C. . .","Kamen, Al",10/12/2012,A bright spot for Obama: Support among Hispanics,A-SECTION,Washington Post,837,23911,Obama,1
25122,"According to the Daily News Journal of Murfreesboro, Tenn.: ""He . . . will be presiding over a pro-forma session of Congress Oct. 11 in Washington, D.C. . .","Kamen, Al",10/12/2012,A bright spot for Obama: Support among Hispanics,A-SECTION,Washington Post,837,25122,Obama,1
6073," Sounding themes of optimism and pragmatism in his 61-minute speech, Obama called for increasing investments in key areas such as education and clean energy while freezing some government spending for five years in an attempt to address simultaneous needs for economic growth and fiscal balance ""We know what it takes to compete for the jobs and industries of our time,"" Obama said to applause. Obama also called for bolstering education with 100,000 more math, science, technology and engineering teachers by the end of the decade; extending wireless Internet coverage to 98 percent of the population; having 80 percent of the nation's electricity coming from clean energy sources by 2035 and 1 million electric vehicles on the road by 2015.",CNN,1/26/2011,A CALL TO ACTION,,Chicago Tribune,914,6073,Obama,1
14510," John Podesta, who served as chief of staff in the Clinton White House, recently pointed out to the U.S. Conference of Mayors that the entire amount of revenue that Obama was seeking could have been achieved merely by allowing the Bush tax cuts to expire, returning the top marginal tax rate in the U.S. code from 35% to 39%, where it was when Clinton left office. [...] those surpluses were the first -- and last -- by any president since, yep, Eisenhower.","Newton, Jim",8/5/2011,A calming influence; Today's politicians could learn from President Eisenhower's approach.,Main News; Part A; Editorial Desk,Los Angeles Times,837,14510,Obama,1
23748,"The clouds depict the assessment of what the poll terms ""persuadable switchers"" - voters in a dozen battleground states who backed Obama in 2008, voted for Republicans in 2010 and describe themselves as up for grabs in 2012. When swing voters who backed you in 2010 come up with words such as ""selfish,"" ""greedy"" and ""irresponsible"" less than a year later, you've got a serious problem with the brand.","Marcus, Ruth",9/14/2011,A cloudy forecast for 2012,EDITORIAL-OPINION,Washington Post,760,23748,Obama,1
24097,"The clouds depict the assessment of what the poll terms ""persuadable switchers"" - voters in a dozen battleground states who backed Obama in 2008, voted for Republicans in 2010 and describe themselves as up for grabs in 2012. When swing voters who backed you in 2010 come up with words such as ""selfish,"" ""greedy"" and ""irresponsible"" less than a year later, you've got a serious problem with the brand.","Marcus, Ruth",9/14/2011,A cloudy forecast for 2012,EDITORIAL-OPINION,Washington Post,760,24097,Obama,1
5305," ""Never in this nation's history has the commerce power been used to require a person who does nothing to engage in economic activity,"" writes Barnett. [...] no decision of the Supreme Court has ever upheld such a claim of power.","Chapman, Steve",4/17/2011,A conservative defense of Obamacare,News,Chicago Tribune,775,5305,Obama,1
13471," Obama has been moving steadily to the political center since his party's midterm election drubbing two months ago, agreeing to extend tax cuts for the richest Americans, calling for business-friendly regulations and attempting to repair his relationship with the business community. The lead writer for the president's second State of the Union address is Jon Favreau, the chief White House speechwriter and architect of some of Obama's most memorable speeches from the '08 campaign.","Nicholas, Peter; Parsons, Christi",1/23/2011,A crucial opportunity for Obama; State of the Union is the president's chance to showcase his shift to the center and woo voters for 2012.,Main News; Part A; National Desk,Los Angeles Times,1024,13471,Obama,1
21261,"White House Memo; Pres Obama has spent the days leading up to his re-election kickoff straddling the precarious line between military hawk and dove, boasting of the raid that killed Osama bin Laden while vowing to bring home troops from Afghanistan; blended military stance could potentially redefine the Democratic party for years to come. Photo (M)",PETER BAKER,5/2/2012,A Delicate New Balance on National Security,U.S. / Politics,The New York Times,1156,21261,Obama,1
10289,"Beltran encourages her to add her name, e-mail address and cellphone number to an early-voting pledge form -- information Obama's campaign will use to encourage the stay-at-home mom to show up at the polls.","Schouten, Fredreka",10/18/2012,A fierce ground war for votes,NEWS,USA Today,1953,10289,Obama,1
10554,"First lady Michelle Obama, who has visited with troops' spouses and children at bases across the USA, today takes her message of support for military families straight to the young men and women who will be leading future troops in battle.","Hall, Mimi",5/20/2011,A first lady first: Speech to West Point grads,NEWS,USA Today,470,10554,Obama,1
27698,  A grand scheme for a larger long-term reduction should include lower income tax rates; an end to deductions and loopholes that fail every reasonable test of fairness and good sense; and sensible adjustments to entitlement programs so that future generations can enjoy Social Security and health care without driving the nation into bankruptcy.,Anonymous,9/14/2011,"A good deal, if not a new deal Obama is right to try new ideas, and nation needs GOP to work with him EDITORIALS",OPINION,Newsday,543,27698,Obama,1
13393, The bitterly partisan brinkmanship in Washington over the debt ceiling weakened the public's already shaky confidence; reaching bipartisan agreement on even a modest jobs plan could help undo that damage.,Anonymous,9/9/2011,A jobs generator?; Obama's proposals come at a rare moment of political convergence for the president and his critics.,Main News; Part A; Editorial Desk,Los Angeles Times,435,13393,Obama,1
17670," In the runup to election day, Obama has emphasized his support for the Dream Act, which would allow some young illegal immigrants to remain in the country legally, and signed an order blocking the deportation of hundreds of thousands of young immigrants.","Becerra, Hector; Sahagun, Louis",10/8/2012,"A landmark moment comes; Obama is to dedicate Cesar Chavez site, but there's a political message as well.",Main News; Part A; National Desk,Los Angeles Times,1179,17670,Obama,1
28752,"Barack Obama, as promised in his campaign, did end the war in Iraq, and reasserted American presence in Afghanistan, sought out and killed Osama bin Laden, and then created a way for complete U.S. withdrawal from combat.",,5/27/2012,A Lesson Not Yet Learned,Opinion,The Daily Review,788,28752,Obama,1
29138,"""I was able to get her into the rope line at JFK Airport in June, so she was able to meet President [Obama] and the First Lady,"" [Tom Yeager] said. ""It was a great thrill."" ""Our most recent tour (in Afghanistan), from March to October last year, was the most amazing, rewarding and stressful experience of my flying career,"" Yeager said. ""We did missions with not a lot of briefing time and flying for six to seven hours in mountainous areas using night-vision goggles."" ""We've bought a little piece of property up at Lake Wynonah,"" he said. ""I'm ready to come back to Schuylkill County.""","Wheary, Rob",8/21/2012,A Local Veteran Prepares For Air Force One,News,Standard - Speaker,819,29138,Obama,1
12326," Times and targets change, said Robert Goldberg, a University of Utah historian and expert on the conspiratorial mindset, but the scenario is essentially the same, if abetted by new technologies: ""Secret groups, which are all-powerful and methodical, are seeking to bend history to their will and control events, like puppeteers, whether it's economic events, assassination or foreign affairs."" There is, of course, a big difference between taking politicians and their promises with a proverbial grain of salt and, say, subscribing to the notion that Obama was born in Africa and faked his birth certificate with the help, nearly 50 years ago, of his prescient parents.","Barabak, Mark Z",6/5/2011,A long tradition of suspicious minds; The Internet further encourages skeptical Americans toward conspiracy theories.,Main News; Part A; National Desk,Los Angeles Times,1060,12326,Obama,1
8350,"[...] Obama is proposing the more specific tax reforms to deal with the income inequality: A 30% effective income tax rate on millionaires and billionaires in what has been described as the ""Buffett Rule,"" and a limit to the number of deductions that households making more than $1 million can take. With his call to increase efforts to increase domestic oil and natural gas production, Obama offered a rebuttal to GOP criticism of his energy security policy.","Madhani, Aamer",1/25/2012,A look behind president's words,NEWS,USA Today,863,8350,Obama,1
11915," House Speaker John A. Boehner said Sunday he thought the Obama administration handled ""a very difficult situation"" in Egypt about as well as possible, undercutting potential Republican presidential candidates who have charged that President Obama botched the U.S. response to a popular revolt against a key ally.","Dilanian, Ken",2/14/2011,A NEW CHAPTER FOR EGYPT; Boehner credits Obama on Egypt,Main News; Part A; Foreign Desk,Los Angeles Times,363,11915,Obama,1
14379," The letter provided no details of the event, but news accounts said 600 guests were fed fresh lobster in desert tents with no fear of sandstorms because water trucks ""had been brought to douse potentially pesky sands,"" according to a former U.S. official who has been an advisor on the region.\n","Richter, Paul",2/16/2011,A NEW CHAPTER FOR EGYPT; Obama reassures Jordan's anxious king of U.S. support,Main News; Part A; Foreign Desk,Los Angeles Times,739,14379,Obama,1
12992," Determined to be on ""the right side of history"" without intruding in Egypt's political affairs, Obama wanted to put pressure on the dictator, squeezing Mubarak to hand over power and begin the transition to a more democratic country. The White House believed that resignation was the clearest way to signal a break with the past, but it was open to options, including a transitional arrangement in which Mubarak would hand over some powers while retaining the office of president.","Nicholas, Peter",2/13/2011,A NEW CHAPTER FOR EGYPT; Obama walked a fine line on Mubarak,Main News; Part A; Foreign Desk,Los Angeles Times,1225,12992,Obama,1
14155," ""The administration wants to see a government with broader representation of the Egyptian society, but one that is continuing to cooperate with the U.S. on security issues, including Israel and counter-terrorism,"" said Joel Rubin, a former Egypt desk officer at the State Department who is now deputy director of the National Security Network, a policy analysis organization.","Cloud, David S; Richter, Paul",2/12/2011,A NEW CHAPTER FOR EGYPT; U.S. now faces a critical test of its influence; Obama must elicit democratic reform from Egypt's army without alienating the long-reliable ally.,Main News; Part A; Foreign Desk,Los Angeles Times,704,14155,Obama,1
13593," Obama achieved a breakthrough in 2008, carrying Nevada, Colorado and New Mexico and coming close to winning Montana, a state Democrats lost overwhelmingly in the two previous presidential campaigns. [...] he has worked to solidify his support, appointing Westerners to important positions such as Interior secretary, and avoiding issues such as gun control and mining reform that had hurt previous Democrats.","Barabak, Mark Z",2/27/2011,A new showdown looms in the West; The Rocky Mountain states again emerge as a key battleground in the 2012 election.,Main News; Part A; National Desk,Los Angeles Times,1290,13593,Obama,1
13478," The Forest Service last year announced that it was abandoning its long-standing approach of big old-growth timber sales in the Tongass National Forest in favor of more modest harvests in previously logged lands, which could then be cycled in perpetuity. [...] Obama administration officials say the new consolidated approach linking timber sales and maintenance provides a way to administer federal lands that also looks at economic opportunities from fishing, recreation, biofuels and tourism.","Murphy, Kim",4/9/2011,"A new stand on an old forest; U.S. officials switch to smaller harvests of Alaska's Tongass timber, which benefit a struggling town.",Main News; Part A; National Desk,Los Angeles Times,908,13478,Obama,1
22669,"In the campaign speech the first lady gives as she rallies supporters across the country, she talks about the ""brilliant"" women sitting on the Supreme Court because of her husband, about his administration's support for equal pay for women in the workplace, and about how ""Barack Obama believes women should be able to make our own choices about our health care.""","Thompson, Krissah",9/4/2012,A political speech that can't seem too partisan,A-SECTION,Washington Post,2675,22669,Obama,1
26305,"In the campaign speech the first lady gives as she rallies supporters across the country, she talks about the ""brilliant"" women sitting on the Supreme Court because of her husband, about his administration's support for equal pay for women in the workplace, and about how ""Barack Obama believes women should be able to make our own choices about our health care.""","Thompson, Krissah",9/4/2012,A political speech that can't seem too partisan,A-SECTION,Washington Post,2675,26305,Obama,1
19873,"White House Memo; disparity between Pres Obama's sweeping foreign policy accomplishments and cramped domestic agenda is vivid evidence of a president hemmed in by a hostile Congress and a penurious fiscal climate, but still left with some powerful levers to pull as the nation's chief executive.",MARK LANDLER,10/28/2011,A President Trying to Work the Levers He Still Possesses,National,The New York Times,903,19873,Obama,1
19876,Rarely has the disparity between President Obama’s sweeping foreign policy accomplishments and cramped domestic agenda been so stark.,MARK LANDLER,10/28/2011,A President Trying To Work the Levers He Still Possesses,National Desk,The New York Times,906,19876,Obama,1
13627," [...] if the justices were to uphold the law as a reasonable regulation of the nation's health insurance market, their decision would give a powerful endorsement to Obama's crusade for healthcare reform just when he most needs it.","Savage, David G",9/25/2011,A risky healthcare decision,Main News; Part A; National Desk,Los Angeles Times,724,13627,Obama,1
5584," Obama, on a four-nation European tour, heard a 41-gun salute at an elaborate arrival ceremony and was given a tour of the palace portrait gallery by Queen Elizabeth and her husband, Prince Philip.",Anonymous,5/25/2011,A royal welcome,,Chicago Tribune,306,5584,Obama,1
14352," The campus was opened in 2002 because its neighborhood in northeast Denver -- an assemblage of clapboard houses threaded through an industrial area dominated by a dog food processing plant -- lacked a middle school. Jack Jennings, president and chief executive officer of the Center on Education Policy, said Obama needs to be sure he doesn't use stories like that of Randolph's turnaround to jump to simplistic conclusions -- like that all that's needed is to weaken teachers unions.\n","Riccardi, Nicholas",1/29/2011,"A school's triumphant rise; After extracting itself from district rules, the Denver institution turns around, earning praise from Obama.",Main News; Part A; National Desk,Los Angeles Times,858,14352,Obama,1
16153," [...] when the Obama administration on Tuesday released its long-delayed proposal to limit greenhouse gas emissions from power plants, there was reason for anyone concerned about public health or the looming climate menace to cheer -- even though it won't shut down a single existing coal-fired plant.",,3/28/2012,A small step forward for Earth,Main News; Part A; Editorial Desk,Los Angeles Times,450,16153,Obama,1
16970," [...] he talks about a new doctoral program to train officers in strategic planning, and he talks about educating more officers to become experts on Asia and the Middle East, about ""cultural awareness"" and ""the human domain."" Odierno's emphasis on regional expertise also informs the approach he thinks the Pentagon should take in Asia, as the Obama administration shifts the focus of foreign policy toward the Pacific, where the Navy has historically ruled.","McMANUS, DOYLE",4/22/2012,"A smaller, smarter military",Main News; Part A; Editorial Desk,Los Angeles Times,844,16970,Obama,1
7510," In 1995, Barack Obama released ""Dreams From My Father,"" a compelling memoir full of stories about his life that -- though often not exactly true -- convinced many people that this young man had a great political future ahead of him. Nearly a decade later, Obama introduced himself to the country with a stirring speech at the 2004 Democratic convention in which he conceded, ""I stand here knowing that my story is part of the larger American story ... and that in no other country on Earth is my story even possible.""","Goldberg, Jonah",8/17/2012,A storied presidency,News,Chicago Tribune,860,7510,Obama,1
21076,"Apparent recoveries have stalled before during the past few years, but there is some reason for optimism about job market growth.","DAVID LEONHARDT; Susan Saulny contributed reporting from Conway, S.C",1/7/2012,A Tenuous Trend in Obama's Favor,National Desk,The New York Times,600,21076,Obama,1
32537," In justifying his attacks on Bain Capital, President Obama argues that ""profit maximization"" might be an appropriate goal for a private-equity firm, but not for more general public policy. [...]in any market structure -- competition, monopoly or oligopoly -- profit-maximizing behavior translates reduced costs into reduced prices for consumers.","Rubin, Paul H",5/24/2012,A Tutorial for the President on 'Profit Maximization',,The Wall Street Journal,580,32537,Obama,1
13530," Though he may be stuck with Jimmy Carter-esque economic numbers, Obama has avoided the image of foreign policy weakness that helped make Carter vulnerable in his quest for a second term. In recent months, the Libya air campaign, which was launched in March, had become almost an afterthought in Washington, where the president and his Republican opponents are locked in a standoff over the economy and the overall size of government.","Nicholas, Peter; Lauter, David",10/21/2011,A TYRANT FALLS; Another feather for Obama the hawk,Main News; Part A; Foreign Desk,Los Angeles Times,951,13530,Obama,1
21584,"With the central pillar of his agenda left intact, President Obama may yet join the ranks of presidents who fundamentally altered the course of the country.",MARK LANDLER,6/28/2012,"A Vindication, With a Legacy Still Unwritten",National Desk,The New York Times,1219,21584,Obama,1
5759," President Barack Obama holds a lead over former Gov. Sarah Palin among likely voters in Alaska in a hypothetical head-to-head presidential race, according to a Hays Research poll.","Muskal, Michael",7/4/2011,Alaska voters pass on Palin,News,Chicago Tribune,261,5759,Obama,1
8," President Obama tried to restore confidence in a midday speech addressing the credit rating downgrade, saying Congress will need to address tax reforms and entitlement programs in upcoming months to fix the political dysfunction contributing to a crisis in the stock market. While the downgrade may have been a catalyst for the sell-off, analysts said the steep decline was driven by deeper concerns about the US and European debt, stalling economic growth, and the lack of options to jump-start the economy.","Woolhouse, Megan",8/9/2011,"An avalanche of worry World markets plunge on fears over US, European economies",News,Boston Globe,1058,8,Obama,0
20," A Dan Wasserman editorial cartoon depicts the Democratic Party saying President Barack Obama is ""backpedaling again"" on spending, nominees, taxes, spying, cuts, and wars.",Dan Wasserman,7/20/2011,Editorial cartoon,,Boston Globe,,20,Obama,0
36," The comments reflect how the political environment surrounding once-sacred social benefits for the elderly and the poor is rapidly shifting, giving hope to deficit watchdogs who anticipate that the upcoming campaign season promises to feature the most robust debate in recent memory on major social programs.","Viser, Matt",4/11/2011,"Obama, GOP look to rein in benefits",National,Boston Globe,1180,36,Obama,0
18578,"Michigan had long been considered a shoo-in for Romney, who has touted his ties to the state, in which his father served as governor. But recent polls show Santorum and Romney neck-and-neck in the Wolverine State ",By Aliyah Shahid / NEW YORK DAILY NEWS,2/15/2012," Santorum, Romney battle to win Michigan primary:  Ex-Pennsylvania Senator launches ‘Rombo’ ad ",,New York Daily News,,18578,Romney,0
22854,[...] an outside group formed by two former White House aides has already used the clip in an ad targeting former Massachusetts governor Mitt Romney.,Anonymous,5/23/2011,"""The literati sent out their minions to do their bidding. Washington cannot tolerate threats from outsiders who might disrupt their comfortable world.""",A-SECTION,Washington Post,345,22854,Romney,0
19095,The Romney campaign’s much-hyped “Mitt’s VP” smartphone app didn’t exactly deliver as advertised.,By Kristen A. Lee / NEW YORK DAILY NEWS,8/11/2012,#TECH FAIL: Mitt Romney’s smartphone app reports Paul Ryan as the VP pick hours after news breaks,,New York Daily News,,19095,Romney,0
1542," WASHINGTON - Hours after two nonpartisan campaign-finance watchdogs filed complaints yesterday with federal election officials and the US attorney general, a mysterious $1 million donor to a political action committee supporting presidential candidate Mitt Romney came forward and identified himself. Federal law prohibits giving money in others' names to political candidates or committees, and violators could face civil and criminal penalties for knowingly participating in such a scheme - either as the original contributor, the person or entity acting as a go-between, or the campaign or committee receiving the money.","Slack, Donovan",8/6/2011,$1m mystery donor to PAC for Romney ID's himself,National,Boston Globe,1311,1542,Romney,0
370," According to Gallup's tracking polls, only 30 percent of Republican voters say that Romney is the candidate they would prefer to nominate.","Jacoby, Jeff",1/11/2012,`Acceptable' is pronounced `winner',Editorial,Boston Globe,373,370,Romney,0
1260, The more conservative candidates in the race will be scrambling for the support of the evangelical Christians who fueled Huckabee's candidacy in 2008 and helped the former pastor deliver a devastating defeat of Romney in the Iowa caucuses.,"Rowland, Christopher",5/15/2011,"`Heart says no,' Huckabee admits, in ruling out 2012 run",National,Boston Globe,764,1260,Romney,0
760," When Rick Santorum swept the states of Minnesota, Missouri, and Colorado on Feb. 7, the National Review's Jonah Goldberg declared that these three states offered a huge referendum on Romney, and the crowd rose up to say, `Meh.' Romney has become so intertwined with the expression of indifference that during the run-up to the New Hampshire primary in January, mock campaign signs began cropping up with the words, Meh. (""You'd fall asleep in your beer with him,"" says the site.) A political cartoon by Jeff Parker of Florida Today hammered the point home, with an old woman shaking the candidate's hand and telling him, ""Oh...you're the electable one everybody talks about - `Meh' Romney.""","Zimmer, Ben",2/26/2012,`Meh' generation,Ideas,Boston Globe,941,760,Romney,0
17984," [...]in May his name was lifted into the headlines when Republican presidential nominee Mitt Romney's wife, Ann, wore a $990 Reed Krakoff bird print shirt for one of her TV interviews and was labeled out of touch.) In a palette of nude, blush, washed-out beige and rose, Krakoff's spring collection was kinky modern, boudoir sporty, provocative but not raunchy. The look was haute-workwear-meets-baroque-Bedouin: utilitarian-looking railroad-stripe or khaki cotton jackets with gathered peplums and two-way zipper details; Deco beaded silk pants; blazers and halter dresses with gold fringe neck scarves attached; ma- crame fringe skirts and draped ""scarf dresses"" with scalloped embroidery or rich crystal embellishment.","Moore, Booth",9/16/2012,"{ THE RUNWAYS: NEW YORK }; FASHION CRITIC; Domains daring and digital; Graphic lines, e-produced prints and uncluttered designs speak loudest on the spring 2013 runways at New York Fashion Week",Image; Part P; Features Desk,Los Angeles Times,1034,17984,Romney,0
22348,Top executives at Chrysler and General Motors condemned advertisements by Mitt Romney suggesting  the auto bailout recipients were shifting jobs to China.,JIM RUTENBERG and JEREMY W. PETERS,10/31/2012,2 American Automakers Rebut Claims by Romney,U.S. / Politics,The New York Times,589,22348,Romney,0
19921,"Animosity between Republican presidential nomination rivals Mitt Romney and Texas Gov Rick Perry began long ago, set off by a series of political encounters when the they were both governors; hostilities between the two have been steadily rising and may signal a new, more combative phase in the presidential campaign. Photo (M)","MICHAEL D. SHEAR and JEFF ZELENY; Ashley Parker, Jim Rutenberg and Richard A. Oppel Jr. contributed reporting",10/20/2011,2 Republicans Share History Of Bad Blood,National Desk,The New York Times,1088,19921,Romney,0
53," COLUMBIA, S.C. - Two of Mitt Romney's rivals, facing what could be their last opportunity to stop his march to the nomination, redoubled their efforts yesterday to cast him as a heartless executive, setting off alarms in conservative circles. Are they fair to the American people, or are the deals being cut on behalf of Wall Street institutions and very rich people? Perry has pointed to a company in Gaffney that made photo albums and a steel plant in Georgetown that he says were closed after Romney's private equity firm, Bain Capital, acquired them.","Tracy, Jan; Levenson, Michael",1/12/2012,2 Romney foes hit Bain cuts Romney foes lean hard on Bain cuts,National,Boston Globe,1147,53,Romney,0
1877," COLUMBIA, S.C. - Two of Mitt Romney's rivals, facing what could be their last opportunity to stop his march to the nomination, redoubled their efforts yesterday to cast him as a heartless executive, setting off alarms in conservative circles. Are they fair to the American people, or are the deals being cut on behalf of Wall Street institutions and very rich people? Perry has pointed to a company in Gaffney that made photo albums and a steel plant in Georgetown that he says were closed after Romney's private equity firm, Bain Capital, acquired them.","Tracy, Jan; Levenson, Michael",1/12/2012,2 Romney foes hit Bain cuts Romney foes lean hard on Bain cuts,National,Boston Globe,1095,1877,Romney,0
6302," Republicans will likely have a harder time winning the health care debate in 2012 because the party, including former Massachusetts Gov. Mitt Romney, the front-runner for the presidential nomination, has embraced proposals to largely privatize Medicare by giving seniors vouchers to shop for commercial insurance. [...] last year, 3.5 million seniors and people with disabilities saved $2.1 billion on prescription drugs, thanks to a provision of the law that gradually closes the gap in Medicare drug coverage.","Levey, Noam N",3/20/2012,2-year checkup: Few see benefits from health law,News,Chicago Tribune,1007,6302,Romney,0
20349,"Orrin G. Hatch, Mitt Romney and Jon Huntsman Jr. are facing criticism for not being conservative enough.",KIRK JOHNSON,3/15/2011,3 Leading Mormon Politicians Feel Heat From Tea Party at Home in Utah,National Desk,The New York Times,1344,20349,Romney,0
21315,"Caucus column; Sales at bakery in Bethel, Pa, surge despite the fact that presumptive Republican presidential nominee Mitt Romney compared the bakery's cookies to 7-Eleven. Photo (M)",MICHAEL BARBARO,4/20/2012,A Baker's Five Dozen: Making Hay Over Cookies,National Desk,The New York Times,330,21315,Romney,0
21025,"Political Memo; conservative strategists worry that Mitt Romney's pro-business message may not play as well as it has in previous elections with conservatives, who are increasingly dubious of unregulated enterprise, especially on Wall Street. Photo (M)",JOHN HARWOOD,1/12/2012,A Blurring of the Lines in the Populist vs. Capitalist Debate,National Desk,The New York Times,968,21025,Romney,0
22510,"There is no question Mitt Romney went up in the polls after the first debate, but a close look at the numbers suggests that President Obama is still slightly ahead.",NATE SILVER,10/12/2012,"A Bounce for Romney, but Just How High?",U.S. / Politics,The New York Times,794,22510,Romney,0
6750," By summer, it will be old news that Romney flip-flopped on abortion rights, that Gingrich once joined forces with Pelosi on global warming, and that Perry extended in-state college tuition to illegal immigrants.",,12/19/2011,A clear winner,News,Chicago Tribune,512,6750,Romney,0
13727," [...] Indiana Gov. Mitch Daniels, who won attention for a tough speech on fiscal responsibility last month, took a step back from candidacy last week, saying his home state's budget crisis might get in the way of saving the rest of the nation. [...] Huckabee, a former Baptist minister, has kept cultural issues prominent in his speeches; last week he said (wrongly) that Obama had grown up in Kenya, and he condemned actress Natalie Portman for ""boasting"" about her unwed pregnancy. [...] Gingrich's core message is heavy with warnings about Muslim inroads into American life, including the suggestion, unsupported by much evidence, that U.S. courts might begin to administer Islamic law.","McManus, Doyle",3/6/2011,"A conservative champion; If Romney is too liberal, who will win over GOP hearts?",Main News; Part A; Editorial Desk,Los Angeles Times,938,13727,Romney,0
21435,"Caucus column; Union Leader, a newspaper in Manchester, NH, known for its conservative editorial stances, slams Mitt Romney for not releasing several years of his tax returns. (M)",MICHAEL D. SHEAR,7/27/2012,A Conservative Critic: Paper Pushes for Tax Returns,National Desk,The New York Times,382,21435,Romney,0
14666," (Rep. Michele Bachmann of Minnesota, who unlike Perry is actually running, came in third.) Polls don't mean much at this early stage of a presidential race, but they do reveal whether anyone has the contest sewed up, and Romney clearly doesn't. Last month, he sponsored a bill in the Texas Legislature that would have made it a criminal offense for a federal airport security screener to perform an ""intrusive"" pat-down on a passenger in Texas.","McMANUS, DOYLE",7/24/2011,A conservative's conservative,Main News; Part A; Editorial Desk,Los Angeles Times,1104,14666,Romney,0
19926,Republican debate in Las Vegas is marked by raised voices and personal attacks as primary campaign moves into more aggressive phase two months before first votes are cast; many such attacks are directed against Mitt Romney. Photos (M)o,JIM RUTENBERG and JEFF ZELENY; Adam Nagourney contributed reporting,10/19/2011,A Fierce Clash for Romney and Perry as Republican Candidates Debate,National Desk,The New York Times,1281,19926,Romney,0
886," If the Romney-Perry onstage encounters have proved diverting political theater, offstage the battle has continued fast and furiously, with the two camps trading regular e-mail enfilades, accusing each other of retreats, evasions, distortions, and the like.","Lehigh, Scot",9/30/2011,A flipper exposes a flopper,Opinion,Boston Globe,684,886,Romney,0
20849,"""Unspoken question hovering over the Republican presidential race, on eve of the Florida primary, is why state's former governor Jeb Bush has not added his voice to the party establishment's support for Mitt Romney in his bitter duel against Newt Gingrich;"" Bush has made clear that he is troubled by the sharpening tenor of the race.",JEFF ZELENY,1/30/2012,"A Florida Bush Stays Silent, and to Many, That Says a Lot",National,The New York Times,1037,20849,Romney,0
20854,"Unspoken question hovering over the Republican presidential race, on eve of the Florida primary, is why state's former governor Jeb Bush has not added his voice to the party establishment's support for Mitt Romney in his bitter duel against Newt Gingrich; Bush has made clear that he is troubled by the sharpening tenor of the race. Photo (M)",JEFF ZELENY,1/30/2012,"A Florida Bush Stays Silent, And to Many, That Says a Lot",National Desk,The New York Times,1037,20854,Romney,0
14981," Republican presidential candidate Mitt Romney's tax returns reveal a sophisticated low-tax investment strategy that includes offshore funds and a now-shuttered Swiss bank account, contributing to a fortune that has emerged as a potential liability in his quest for the White House.","Vartabedian, Ralph; Hamburger, Tom; Gold, Matea",1/25/2012,A fortune enhanced by U.S. tax code,Main News; Part A; National Desk,Los Angeles Times,1535,14981,Romney,0
19934,"Political Memo cautions against calling Mitt Romney the inevitable Republican presidential nominee; notes that with start of primary season fast approaching, Romney's Republican rivals are planning more aggressive attacks in effort to define him and determine just how strong--or brittle--his support is.",JEFF ZELENY and ASHLEY PARKER,10/18/2011,"A Front-Runner, but the Race Is Long",National,The New York Times,1162,19934,Romney,0
19938,"With the start of the primary season a little more than two months away, Mitt Romney’s Republican rivals are planning more aggressive tactics.",JEFF ZELENY and ASHLEY PARKER; Jim Rutenberg contributed reporting,10/18/2011,"A Front-Runner, but the Race Is Long",National Desk,The New York Times,1164,19938,Romney,0
6189," [...] Newt Gingrich's floundering campaign, awash in debt and without a conceivable path to the nomination, is laying off a chunk of its staff, slimming his travel schedule and planning for an all-out brawl at the GOP convention in August, according to sources with his campaign. ---------- mreston@tribune.com","Reston, Maeve",3/28/2012,"A funny thing: Romney plays it straight, shares laughs with Leno",News,Chicago Tribune,362,6189,Romney,0
2656," GOFFSTOWN, N.H. - Hoping to stop his march to the nomination, Mitt Romney's rivals sought last night to paint him as out of touch with struggling blue-collar workers, accusing him of slashing jobs in pursuit of profits as chief executive of a Boston investment firm. In the first debate since the Iowa caucuses affirmed Romney's front-runner status and anointed Rick Santorum as a top challenger, Romney was at times put on the defensive over his China policy, the universal health care law he crafted in Massachusetts, and what his challengers called his ""timid""' economic plans.","Levenson, Michael; Viser, Matt",1/8/2012,A FURIOUS DASH TO PRIMARY DAYRomney's Bain record an early debate target,National,Boston Globe,1506,2656,Romney,0
