,author,date,word_count,abstract,headline,source
1900,"Power, Stephen","Jun 10, 2011",1122," Since the accident, the nuclear industry and its supporters in Congress have been counting on the NRC and Mr. Jaczko to reassure the public about the safety of America's 104 nuclear reactors.",Report Slams U.S. Nuclear Regulator,The Wall Street Journal
1901,Anonymous,"Jan 19, 2011",772," Liberals have spent years dismissing warnings that their agenda created uncertainty and harmed the economy, and then they wake up to find their leader on the Wall Street Journal editorial page disowning ""unreasonable burdens on business -- burdens that have stifled innovation and have had a chilling effect on growth and jobs.""",Obama's Rules Revelation,The Wall Street Journal
1902,Anonymous,"Jan 28, 2011",664," Associated Press --- ELECTION 2012 GOP's Pence Won't Seek Presidential Nomination Indiana Rep. Mike Pence decided against running for the White House next year, disappointing social conservatives who had encouraged him to seek the Republican nomination.",U.S. News: U.S. Watch,The Wall Street Journal
1903,"Lauricella, Tom; Phillips, Matt; Ng, Serena","Aug 8, 2011",1449," With the U.S. stripped by Standard & Poor's of its triple-A credit rating, big banks brought in people to staff trading desks over the weekend, and Obama administration officials put a full-court press on skittish investors. The downgrade late Friday had implications for a range of entities with links to the U.S. government or holdings of its debt, running the gamut from mortgage giants Fannie Mae and Freddie Mac to large insurers to securities clearinghouses -- not to mention rates on consumer loans such as mortgages that are linked to Treasury yields.",Markets Brace for Downgrade's Toll --- Stocks Slide in Early Asian Trading; White House Reaches Out to Investors as S&P; Defends Its Move Against Criticism,The Wall Street Journal
1904,"Lee, Carol E; Paletta, Damian","Sep 19, 2011",1039," GOP leaders on Sunday specifically rejected the proposal Mr. Obama named after Mr. Buffett, who has pushed the federal government to raise the tax rates paid by the wealthiest Americans.",New Obama Deficit Plan --- Half of $3 Trillion in Savings to Come From Taxes; GOP Opposes Fresh Levies,The Wall Street Journal
1905,Anonymous,"Jul 14, 2011",81,,Gov. Romney Leaves This Evangelical Cold,The Wall Street Journal
1906,"Mitchell, Josh; Lee, Carol E","Aug 4, 2011",398," President Barack Obama urged congressional leaders again Wednesday to resolve a dispute over aviation funding that has idled tens of thousands of U.S. workers, but lawmakers appeared to harden their stances in a fight over subsidies for rural air service and union rules.",U.S. News: Lawmakers Digging In Over FAA-Funds Fight,The Wall Street Journal
1907,Anonymous,"May 4, 2011",486," The board's complaint against Boeing, filed last month, is the first shot in a new union war on federal right-to-work law, a policy shift that is every bit as threatening as the drive to get rid of secret ballots in union elections.",Congress vs. the NLRB,The Wall Street Journal
1908,"Bellman, Eric; Ramstad, Evan","Jul 25, 2011",477," The U.S. invitation to the North came after senior diplomats from North and South Korea met Friday on the sidelines of a regional meeting of the Association of Southeast Asian Nations here and pledged to try to return to the so-called six-party talks, which also involve China, Japan, Russia and South Korea.",World News: North Korean Diplomat Invited to U.S. for Talks,The Wall Street Journal
1909,"Daalder, Ivo","Sep 12, 2011",671," The invocation of Article 5 was a defining moment for NATO. [...] that moment, everyone had assumed that this commitment of the treaty was designed to involve the U.S. in the defense of Europe.",NATO's Finest Hour,The Wall Street Journal
1910,Anonymous,"Feb 16, 2011",751," Iran has many of the revolutionary ingredients found in those countries: a technologically savvy and frustrated young population, a stultifying society, stagnant economy and a corrupt military-run regime. The regime in Tehran -- aptly described by Secretary of State Hillary Clinton yesterday as ""a military dictatorship with a kind of theocratic overlay"" -- feels zero compunction or shame about repressing political opponents.",Egypt and Iran,The Wall Street Journal
1911,"Bendavid, Naftali","Mar 15, 2011",509," Several Republicans say they will oppose the three-week spending bill House GOP leaders are offering Tuesday to avert a government shutdown, raising the pressure on both parties to reach a long-term spending deal.",U.S. News: Spending Bill Breeds Dissent in GOP Ranks,The Wall Street Journal
1912,"Timiraos, Nick; Fitzpatrick, Dan; Simon, Ruth","Feb 25, 2011",865," ""Requiring banks to eat the loss, and at the same time allowing them to administer the program, is a recipe for a program that will not do anything except raise people's expectations and frustrate them,"" said Gloria Einstein, an attorney at Jacksonville Legal Aid Inc. She said an independent third party should administer the program.",Banks Bristle at Mortgage-Loan Plan,The Wall Street Journal
1913,Anonymous,"Sep 9, 2011",803," The larger political subtext of Mr. Obama's speech is that if Congress doesn't pass his plan, he'll then campaign against Republicans as obstructionist. [...] his speech mantra that Congress should ""pass it right away.""",The Latest Jobs Plan,The Wall Street Journal
1914,Anonymous,"Mar 16, 2011",262," By operating within the context of the Security Council and NATO, President Obama has avoided making the U.S. look like a bully in Libya's sovereign affairs and is acting with the full legitimacy of the international community behind him.",ICC Works at Its Limited Function,The Wall Street Journal
1915,"Weisman, Jonathan; Greenberg, Scott","Apr 7, 2011",549," Former Massachusetts Gov. Mitt Romney appears to be the early front-runner in the largely unformed race for the Republican nomination for president, according to a new Wall Street Journal/NBC News poll.","U.S. News: Romney Tops Republican Field, Followed by...Trump",The Wall Street Journal
1916,"Entous, Adam","Feb 23, 2011",751," The unrest could have broad implications, from forcing the U.S. to cut off aid to specific military units found to be involved in crackdowns on civilian protesters, to delaying multibillion-dollar arms deals to Gulf states, one of the fastest-growing markets for U.S. defense contractors.",Middle East: U.S. Reviews Arms Sales Amid Turmoil --- Questions Over Governments' Longevity and Abuses in Crackdowns Raise Doubts About Military Assistance to Mideast,The Wall Street Journal
1917,"Morath, Eric","Sep 20, 2011",416," According to court papers, Solyndra must pay $69.3 million owed to lenders led by Argonaut Ventures I LLC before it pays back some $527 million in loans that the government guaranteed.",U.S. News: Lawmaker Seeks Solyndra Examiner,The Wall Street Journal
1918,"Coker, Margaret; Levinson, Charles; Entous, Adam; Weisman, Jonathan","Feb 1, 2011",1335," The military central command has been meeting during the last week to review intelligence on the political situation as well as what is being viewed as a growing economic crisis due to the unrest here, according to a person familiar with government thinking.",Mubarak Offers to Negotiate --- Foes Spurn Feeler; U.S. Seeks Formula For Regime's Exit,The Wall Street Journal
1919,"Wessel, David","Jan 27, 2011",766," In his State of the Union address, President Barack Obama called on Congress to embark on a major revamp of corporate taxes: [S]implify the system. Lowering rates, removing the distortions in the present system, helps growth because it allows business to compete on the basis of performance and return rather than on their ability to get or protect special provisions in the tax code.",U.S. News: Tax Redo Seeks 'Level Playing Field',The Wall Street Journal
1920,"Noonan, Peggy","Jun 11, 2011",1249," Because that will hurt us, not him, and define us, not him. [...] he's attempting to focus on economic issues, on which he has personal and professional credibility.\n",Declarations: Someone Had a Good Week,The Wall Street Journal
1921,"Etter, Lauren","Jan 19, 2011",334, Former President Bill Clinton stumped for mayoral candidate Rahm Emanuel here Tuesday with 35 days to go before the city chooses a successor to longtime Mayor Richard M. Daley.,U.S. News: Clinton Stumps for Emanuel in Chicago,The Wall Street Journal
1922,Anonymous,"Jul 12, 2011",301," A growing number of hedge funds have started to invest more in private Internet companies, spurred by their appetite for tech firms and seeking higher returns. ---",Business and Finance,The Wall Street Journal
1923,"Levitz, Jennifer; Hagerty, James R; Searcey, Dionne","May 3, 2011",917," Joe Holland, a member of the New York City Retired Firefighters Chapter 343 in Spring Hill, Fla. lost his son Joey, who worked at a commodities trading firm in the World Trade Center at the time of the attack. Two years ago, Mr. Holland and other members of the firefighters group created a 9/11 memorial at a local VFW Hall that included a piece of iron from the World Trade Center and a tile from the Pentagon.",Relief Tempered by Memory Of Terrorism's Many Victims,The Wall Street Journal
1924,"Soon, Willie; Driessen, Paul","May 25, 2011",706," According to the Centers for Disease Control's National Health and Nutrition Examination Survey, which actively monitors mercury exposure, blood mercury counts for U.S. women and children decreased steadily from 1999-2008, placing today's counts well below the already excessively safe level established by the EPA.",The Myth of Killer Mercury,The Wall Street Journal
1925,"Henninger, Daniel","Mar 10, 2011",859," Less than a week into the massive Cairo street demonstrations, a prominent U.S. foreign policy expert pushed back against supporting them: ""No one really knows a great deal about the protesters."" When all at once the people of Libya, Tunisia, Egypt, Yemen, Jordan, Morocco, Oman, Bahrain, Algeria and even Iran (a Feb. 20 protest by tens of thousands was barely noticed) summoned the courage to take to the streets for greater freedom, the U.S. foreign-policy establishment seemed like stunned deer staring into the incandescent images on television and wondering, Who are these people?",Is U.S. Democracy Just Talk?,The Wall Street Journal
1926,Anonymous,"May 24, 2011",519," Because amateur and professional recording devices are everywhere today, we can both better count the number of tornadoes and be horrified at the vivid details of their devastation.",Joplin's Tornado,The Wall Street Journal
1927,"Hagerty, James R","Sep 6, 2011",912," The 57-year-old Australian, who has been Dow's chief since 2004, published a book this year called ""Make It in America,"" prescribing policies to boost high-tech manufacturing, including free-trade agreements and simpler regulations. All I do is point out that it's not a level playing field, that other countries offer these subsidies and tax incentives and are attracting investment.",Managing &amp; Carreers -- Boss Talk / Andrew Liveris: 'Obama's Aussie' Touts Vision for Dow Chemical and the U.S.,The Wall Street Journal
1928,"Phillips, Matt; Lamar, Mia","Aug 17, 2011",645," Fitch, which also called the recent Budget Control Act to reduce the deficit a ""significant positive development,"" said its confidence in the U.S. is supported by the pivotal role the U.S. plays in the global financial system, the U.S. dollar's role as the reserve currency and its diversified economy.","Global Finance: Fitch Affirms U.S. as Triple-A, Isolating S&P;",The Wall Street Journal
1929,"Meckler, Laura; Entous, Adam","May 2, 2011",1123," Hundreds of onlookers gathered outside the White House -- and at Ground Zero in New York City, where the twin towers of the World Trade Center once stood -- to mark the moment. Mr. Obama called his predecessors in office, George W. Bush and Bill Clinton, before speaking to the nation, a senior administration official said. Because Mr.\n",U.S. Forces Kill Osama Bin Laden --- Obama Says Sept. 11 Attacks Avenged in Commando Assault on Pakistani Compound; Body of Terror Mastermind Captured,The Wall Street Journal
1930,Anonymous,"Jul 20, 2011",467," Within days of the executive order, the Consumer Product Safety Commission voted 3-2 that it is ""technologically feasible"" to impose a lower limit on lead content in children's products, reducing the level to 100 parts per million from 300 parts per million.",Toying With Deregulation,The Wall Street Journal
1931,Edited by Cristina Lourosa-Ricardo,"Feb 20, 2011",868," [...] a conventional loan...unless I had 20%, that is not even an option for me,"" says Ms. Lavoie, a 29-year-old who works for Delaware state government. Because the town house is in a rural area, Ms. Lavoie qualified for a U.S. Department of Agriculture loan, which requires no money down.",The Aggregator: Banks Push Bigger Home Down Payments,The Wall Street Journal
1932,Anonymous,"Jan 7, 2011",378, The cost of insuring some European government debt against default hit a record after regulators issued proposed rules on bank bailouts.,Business and Finance,The Wall Street Journal
1933,Anonymous,"Aug 26, 2011",636," No amount of funny money is likely to stimulate us back into growth mode so long as tax rates remain high (and tax incentives remain skewed by lobbying favors), and the regulatory environment remains so irrational and stultifying, and if we continue to find new ways to strangle our businesses or drive them abroad.",Americans Can Learn How to Stop Hating Economics,The Wall Street Journal
1934,"Fassihi, Farnaz","Jun 3, 2011",693," The day's violence was the worst so far since Mr. Saleh declined last month to sign a transition of power agreement, brokered by the Gulf Cooperation Council, that would hand the government to his deputy and offer him immunity from prosecution.",World News: Tribesmen Join Battles in Yemen Capital --- Fighting Engulfs San'a as Militamen Enter; 'We can See Fire Everywhere',The Wall Street Journal
1935,Anonymous,"Sep 1, 2011",144," Reporters Ben Smith and Maggie Haberman in Politico, Aug. 30: [Rick] Perry panic has spread from the conference rooms of Washington, D.C., to the coffee shops of Brooklyn, with the realization that the conservative Texan could conceivably become the 45th president of the United States, a wave of alarm centering around Perry's drawling, small-town affect and stands on core cultural issues such as women's rights, gun control, the death penalty, and the separation of church and state.",Notable &amp; Quotable,The Wall Street Journal
1936,Michael Howard Saul,"Jul 9, 2011",286," Republican and Conservative party leaders tapped Bob Turner, a businessman who captured roughly 40% of the vote in an unsuccessful bid to unseat then-U.S.",City News: GOP's Turner Faces Weprin,The Wall Street Journal
1937,Anonymous,"Jul 27, 2011",342," Per Daniel Henninger's same-day Wonder Land column, ""The Disappearing Recovery,"" post-World War II Europe accepted slower economic growth in exchange for generous state benefits.",The European View of the U.S. May Change Once Again,The Wall Street Journal
1938,"Hoover, Margaret","Jul 22, 2011",956, Millennials voted two-to-one for Barack Obama and also broke hard for John Kerry in 2004 -- and partisan identification typically solidifies after three presidential election cycles. [...] the next presidential election is critical.,How the GOP Can Win Young Voters,The Wall Street Journal
1939,"Perez, Evan","Apr 5, 2011",1362," The record in military commissions pales in comparison, with only a handful of convictions, and the ground rules still in flux, Mr. Leahy said. Since the Bush administration began military commissions six detainees have been convicted; the Justice Department counts more than 400 terrorism-related convictions in civilian courts since 9/11.","U.S. Reverses on 9/11 Trials --- Alleged Terror Plotter, Four Others to Face Military Tribunals as Obama Backtracks",The Wall Street Journal
1940,"Lee, Carol E","Mar 14, 2011",1041," [...] donors said Mr. Messina explained that Mr. Obama's political aides view Mr. Huntsman's support for a health care overhaul in Utah as a potential flashpoint for GOP primary voters, much like a state health plan that has caused problems for former Massachusetts Gov. Mitt Romney.","U.S. News: Donors Told Obama in Weaker Position --- As Push for 2012 Funds Begins, Campaign Chief Offers Early Glimpse of How President Stacks Up Against the GOP Field",The Wall Street Journal
1941,"Barnes, Julian E; Fidler, Stephen","Jun 11, 2011",796," Defense Secretary Robert Gates issued a blunt critique of the North Atlantic Treaty Organization on Friday, arguing the Libya operations demonstrated America's allies suffered from serious gaps in military capabilities because of their failure to spend enough on their own defense.",World News: Gates Blasts NATO Members for Military Gaps,The Wall Street Journal
1942,"Fleisher, Lisa","May 20, 2011",666," Democratic lawmakers who fought over the years to expand New Jersey's program said it would prompt more people to go to emergency rooms for routine or more expensive visits, driving up overall spending on medical care and putting the burden on hospitals who have to pick up the tab for the poor.",Christie Seeks Tighter Limits On Medicaid,The Wall Street Journal
1943,Anonymous,"Aug 10, 2011",549, Associated Press --- PENNSYLVANIA Man Admits Using Internet To Promote Terror Attacks A Pennsylvania man pleaded guilty Tuesday to using the Internet to promote terror attacks against American military and civilian targets in posts he made on an Islamic extremist web forum he moderated.,U.S. News: U.S. Watch,The Wall Street Journal
1944,"Murray, Sara","Jul 13, 2011",1704," If Congress had wiped out welfare cash assistance, food stamps, jobless benefits, children's health insurance, Supplemental Security Income for aged poor, housing assistance and the lion's share of training, employment and social-services programs, federal spending in fiscal 2010 would have been lower by about $489 billion, which is only about a third of that year's deficit.",Budget Solution: Squeeze the Middle,The Wall Street Journal
1945,"Light, Joe; Murray, Alan","Sep 7, 2011",1247," According to a recent Wall Street Journal/NBC News poll, more than 70% of Americans think the economy has yet to hit bottom.",Corporate News: Private Ideas on How to Create Jobs,The Wall Street Journal
1946,"Noonan, Peggy","Feb 12, 2011",1155," [...] despite early bobbles and backtracking, the White House did all right, mostly because from the beginning they seemed to understand: [...] it was Egypt's story, Egypt's drama, Egypt's decision about Egypt's future.",Declarations: A Young Nation Triumphs as an Old Ruler Falls,The Wall Street Journal
1947,"Mitchell, Josh","Jan 13, 2011",535, Leaders of several major foreign and domestic auto makers joined President Barack Obama in the White House Rose Garden in May 2009 to support an agreement to boost federal fuel-economy standards to 35.5 miles per gallon by 2016.,U.S. News: Auto Makers Seek Help on Fuel Rules,The Wall Street Journal
1948,"Wright, Tom","Sep 24, 2011",742, Pakistan would rather retain its assets than sacrifice them. [...] its relationship with the U.S.\n,World News: Pakistan Knocks Back U.S. Accusation of Militant Ties,The Wall Street Journal
1949,Anonymous,"May 27, 2011",168," Netanyahu's deadly, devastating speech to Congress in which he eviscerated President Obama's foreign policy to prolonged and repeated standing ovations by members of both parties -- may have been the single most stunning and effective public rebuke to an American President a foreign leader has ever delivered.",Notable &amp; Quotable,The Wall Street Journal
1950,"McGurn, William","May 24, 2011",834," Like many internationalists he inclined toward socialism, though he was hostile to Bolshevism. Because he died before Pearl Harbor, no one knows whether his opposition to a Jewish state would have been changed by the experience of World War II and the Holocaust.",Main Street: An Arab for Ground Zero,The Wall Street Journal
1951,"Jenkins, Holman W, Jr","Jul 6, 2011",798," Economies around the world are foundering from an accumulation of policy excesses produced by the sort of straight-line, robotic thinking he's applying to so-called corporate average fuel economy rules.",Overcaffeinated CAFE,The Wall Street Journal
1952,Yossi Klein Halevi,"Mar 30, 2011",1018," After a brutal decade that began with the collapse of the peace process in September 2000, and which brought four years of suicide bombings, eight years of missile attacks, two wars, and at least two failed attempts at peacemaking, the Israeli public is resilient and sober. Israel's contribution to the new democratic spirit should be sending an unequivocal message to the Arab world that it has no intention of continuing the occupation for ideological motives, and that the only impediment to Palestinian independence is Palestinian intransigence, especially on the issue of refugees.",Israel Is Resilient but Watchful,The Wall Street Journal
1953,"Hodge, Nathan","Jun 9, 2011",621," Proponents of stable military spending worry that Mr. Panetta's background as President Bill Clinton's budget director, coupled with the anti-deficit mood in Congress, could signal the end of a variety of weapons programs.",U.S. News: Defense Nominee Is a Budget Warrior,The Wall Street Journal
1954,Anonymous,"Jan 6, 2011",391," Boehner, the new speaker of the Republican-controlled House, pushed through rules designed to make it more difficult to raise taxes, increase spending and lift the federal debt ceiling.",World-Wide,The Wall Street Journal
1955,"Williamson, Elizabeth","Jun 29, 2011",815," The White House and congressional leaders said Tuesday they would push for votes on three long-delayed free-trade deals and government aid to displaced workers, a risky maneuver that could determine the fate of the trade agenda for the rest of President Barack Obama's term.",U.S. News: White House Pushes for Votes on Trade,The Wall Street Journal
1956,"Maher, Kris; Belkin, Douglas","Feb 18, 2011",1282," Gov. Walker first introduced his ""budget repair"" bill a week ago, setting off the firestorm that has swept the Capitol. Besides limiting collective-bargaining rights for most workers -- excepting police, firefighters and others involved in public safety -- it would require government workers, who currently contribute little or nothing to their pensions, to contribute 5.8% of their pay to pensions, and pay at least 12.6% of health-care premiums, up from an average of 6%.",Union Fight Heats Up --- Absent Teachers March; Wisconsin Democrats Flee to Halt Vote,The Wall Street Journal
1957,"Meckler, Laura","Aug 23, 2011",282," Before a coalition including American aircraft took to Libya's skies in the spring, he said, civilians were murdered in the streets, a campaign of violence was launched against the Libyan people, Gadhafi threatened to hunt peaceful protesters down like rats.","The Fight for Tripoli: Obama Praises Allied Efforts, Rebels' Progress",The Wall Street Journal
1958,"Matthews, Merrill; Litow, Mark","Jul 11, 2011",879," When people are insulated from the cost of a desirable product or service, they use more. [...] people who have comprehensive health coverage tend to use more care, and more expensive care -- with no noticeable improvement in health outcomes -- than those who have basic coverage or high deductibles.",Why Medicare Patients See the Doctor Too Much,The Wall Street Journal
1959,Anonymous,"Sep 20, 2011",326," A U.S. soldier who killed five at an Iraq clinic shouldn't face the death penalty due to mental illness, a judge said. ---",World-Wide,The Wall Street Journal
1960,Anonymous,"Aug 13, 2011",619," Mr. Barro sets forth a five-point plan for reinvigorating the American economy: reform entitlements, lower marginal tax rates, phase out popular tax deductions, eliminate corporate and estate taxes and introduce a value-added tax.",Four Out of Five Cheers for Robert Barro's Suggestions,The Wall Street Journal
1961,Anonymous,"Sep 3, 2011",399," The Chinatown subway project ranks right up there with the state of California's continued funding for a high-speed rail system. [...] the tea-party movement came along, I felt helpless to reverse bad fiscal choices being made by politicians in Washington and California.",The Billion-Dollar-a-Mile Subway Makes Perfect Sense,The Wall Street Journal
1962,"Jenkins, Holman W; Jr.","May 28, 2011",743," (Nearby Buffalo, N.Y., of course, is the birthplace of the chicken wing.) On a serious note, Mr. Obama, 79, recalled the watershed Democratic special election victory of 2011 as a turning point in his battle to save Medicare, the health-care program for seniors.",How Medicare Was Saved,The Wall Street Journal
1963,"Fund, John","Feb 26, 2011",1171," Part of his plan for putting the state on a sustainable fiscal path is to have state workers contribute more to their pensions and health-insurance plans, although they would still pay less than the national average for government workers. Mr. Walker says that the employee rights that people care about are protected by civil-service rules, not collective bargaining.",Cross Country: Wisconsin's Newest Progressive,The Wall Street Journal
1964,"Gottlieb, Scott","Jun 6, 2011",661," Yet some of the analysis that led to this conclusion was nonetheless ""retrospective"" -- meaning statisticians had selectively mined the data to find that positive benefit. Since the study didn't set out to test the drug in only mild patients, the finding wasn't firm enough to satisfy FDA.",Feds to Biotech Firms: Shut Up,The Wall Street Journal
1965,"Meckler, Laura; Banchero, Stephanie","Sep 23, 2011",685, First is the rigorous evaluation system for teachers and principals.,U.S. News: Obama Rewrites 'No Child' Law,The Wall Street Journal
1966,"Entous, Adam","Sep 16, 2011",445," Turkey on Wednesday signed an agreement with the North Atlantic Treaty Organization to station a high-powered U.S. radar site on its territory, part of a missile-defense system to protect NATO allies from the threat of long-range rockets from Iran.",World News: U.S. Use of Radar Data Risks a Turkish Backlash,The Wall Street Journal
1967,"Hook, Janet","Apr 11, 2011",941," According to one Senate Democratic leadership aide, $17.8 billion of the cuts would come from mandatory programs.",U.S. News: Talks Focus on Programs' Cuts,The Wall Street Journal
1968,"Williamson, Elizabeth","Sep 21, 2011",1058," A Republican former White House aide suggests the 2012 candidates have gone far beyond what he calls the ""three F's"" rule: A president looks better without a tie only when appearing at a fair, on a factory floor or at the scene of a flood. Giving an informal air to the formal announcement, he wore a roomy shirt in a tattersall pattern -- a plaid first used in 18th-century British horse blankets -- with sleeves ""rolled as if he [had] entered an impromptu hot-dog-eating contest,"" wrote Kurt Soller, Esquire's style editor.",Candidates Figure What Voters Need From Them Is a Good Dressing Down --- Hopefuls Embrace 'Campaign Casual' And Roll Up Their Sleeves Only So Far,The Wall Street Journal
1969,"Solomon, Jay","May 19, 2011",757," The administration appears to be following the sanctions model it is employing to pressure Libyan leader Moammar Gadhafi and his closest advisers following Tripoli's crackdown, though no officials in Washington said the White House is considering military action in Syria.","World News: U.S. Imposes Sanctions on Syrian Ruler --- Violent Crackdown on Protesters Prompts Move Against Assad, Senior Officials; President Admits Some Mistakes by Police",The Wall Street Journal
1970,"Mitchell, Josh; Terlep, Sharon","Jun 27, 2011",742, Makers of electric vehicle technology say declining costs for lithium batteries will allow the auto industry to make big gains in fuel efficiency without stoking sticker shock.,U.S. News: Your Mileage May Vary --- White House Floats Proposal Requiring Auto Makers to Double Fuel Efficiency,The Wall Street Journal
1971,"Meckler, Laura","Apr 18, 2011",709," Mr. Obama's bipartisan fiscal commission recommended increasing the retirement age for eligibility, subjecting more wages to Social Security taxes, reducing benefits for wealthy seniors and allowing benefits for others to increase more slowly.",The Spending Fight: Social Security Drama Muted as Talks Evolve,The Wall Street Journal
1972,"Barnes, Julian E; Entous, Adam; Rosenberg, Matthew","Jan 8, 2011",836," U.S. military commanders in Afghanistan are seeking ways to maintain the level of combat troops there, even as they make plans to cut the overall number of American personnel to meet the White House's mandate to start shipping out forces by summer. [...] other officials said Gen. Petraeus and administration officials in Washington appeared to back the general approach of culling support positions that may be redundant or expendable, while preserving, or even increasing, the proportion of front-line infantry troops in the field.","World News: U.S. Seeks to Keep Afghan Troop Strength --- With Planned Drawdown Looming, Brass Looks to Preserve Front-Line Soldiers While Trimming Support Personnel",The Wall Street Journal
1973,"Spindle, Bill; Coker, Margaret","Apr 16, 2011",2980," Gulf has strained relations between the U.S. and important Arab allies, helped to push oil prices into triple digits and tempered U.S. support for some of the popular democracy movements in the Arab world. Iran holds in its sway Syria and the militant Arab groups Hezbollah in Lebanon and Hamas in the Palestinian territories; in the Saudi sphere are the Sunni Muslim-led Gulf monarchies, Egypt, Morocco and the other main Palestinian faction, Fatah.","REVIEW --- The New Cold War --- There has long been bad blood between Iran and Saudi Arabia, but popular protests across the Middle East now threaten to turn the rivalry into a tense and dangerous regional divide",The Wall Street Journal
1974,Anonymous,"Feb 14, 2011",1104," The Administration puts the case for federal withdrawal from the broader housing market in compelling terms: ""The strength of this option is that it would minimize distortions in capital allocation across sectors, reduce moral hazard in mortgage lending and drastically reduce direct taxpayer exposure to private lenders' losses."" Treasury points to other benefits: With less incentive to invest in housing, more capital will flow into other areas of the economy, potentially leading to more long-run economic growth and reducing the inflationary pressure on housing assets.",The End of Fannie Mae,The Wall Street Journal
1975,Anonymous,"Sep 8, 2011",366," Apparently unable to distinguish between liberalism and anti-Americanism (read antiexceptionalism), Mr. Steel asserts that favoring government programs or fiscal regulation is tantamount to the latter.",President Obama Is Proof of American Exceptionalism,The Wall Street Journal
1976,"Adamy, Janet","Jan 7, 2011",711," The health overhaul does contain a provision that allows states with budget deficits to seek permission from the federal government to limit Medicaid eligibility, but only for relatively higher-income adults who are not pregnant or disabled.",U.S. News: GOP Governors Seek Leeway to Cut Medicaid,The Wall Street Journal
1977,Anonymous,"Jun 10, 2011",151," [...] if the ceiling is raised by $2.4 trillion, President Obama will not have to run on the debt and spending issue next year; this will be pushed off to 2013, and this year's debate will have been forgotten by the election.",Obama Has Already Won on Debt Limit,The Wall Street Journal
1978,"Weisman, Jonathan; Entous, Adam","Feb 3, 2011",663," The Obama administration, stung by an outbreak of violence in Cairo Wednesday, is now pushing for a speedy transfer of power to a transitional government that would sideline Egyptian President Hosni Mubarak or remove him from power, people familiar with the matter say.","Turmoil in Egypt: White House Charts a New Plan --- Reacting to Violence in Cairo, U.S. Makes First Calls for a Speedily Formed Transitional Government Without Mubarak",The Wall Street Journal
1979,Anonymous,"Jul 8, 2011",398," The House defeated a bill to stop funding military operations in Libya, but voted to bar spending to aid the rebels. ---",World-Wide,The Wall Street Journal
1980,"Meltzer, Allan H","Feb 5, 2011",911," [...] it should increase the short-term interest rate it controls to 1%, which would show that it is aware of the inflation risk and will act promptly to counteract it. Better to hold cash and wait. [...] the 2010 election changed their view of the future, there was no way to know how much tax rates would increase, what new, costly regulations would stem from the president's health-care reforms, the Dodd-Frank financial reforms, and elsewhere.",Ben Bernanke's '70s Show,The Wall Street Journal
1981,"Perez, Evan","Feb 4, 2011",724," The first test comes this month, when three provisions of the act giving the government greater ability to monitor suspected terrorists expire and Congress must decide whether to extend them. Since the law first passed with broad bipartisan support in October 2001, just after the 9/11 attacks, the debate has pitted civil libertarians against those who believe the government needs stronger tools to fight terrorism.",U.S. News: Tea Party Unlikely to Derail Patriot Act Renewal,The Wall Street Journal
1982,"Meckler, Laura; Lee, Carol E","Aug 17, 2011",759," Ruy Teixeira of the liberal Center for American Progress Action Fund, who has studied working-class white voters, said they start out suspicious of government and wary of Democrats, and were likely annoyed by the months spent talking about the nation's debt and borrowing limit and not jobs.","U.S. News -- Election 2012: Obama Aims to Keep White Voters on Board --- As Groups Who Backed President in 2008 Drift to GOP, Midwest Bus Trip Tailors Message to the Young and Working-Class",The Wall Street Journal
1983,"Hilsenrath, Jon","Aug 27, 2011",1060," The Fed chairman, who was appointed by a Republican and reappointed by a Democrat, aimed his sharpest remarks at U.S. lawmakers and the White House, scolding them for a divisive debate about raising the federal debt limit earlier this month that, he said, ""disrupted financial markets and probably the economy as well.""",Speech Hints at Options For Fed --- Bernanke Offers No New Program,The Wall Street Journal
1984,Anonymous,"Feb 15, 2011",488,,Financial Briefing Book: Feb. 15,The Wall Street Journal
1985,"Medved, Michael","Feb 14, 2011",1140, [...] the White House record of more than 200 years shows plenty of bad decisions but no bad men.,Obama Isn't Trying to 'Weaken America',The Wall Street Journal
1986,"Bolton, John","Apr 15, 2011",706," [...] Iran's weapons program proceeds full steam ahead, which only emphasizes to would-be proliferators that persistence pays.",Iranian Winter Could Chill the Arab Spring,The Wall Street Journal
1987,"Forelle, Charles; Enrich, David","Jun 8, 2011",866," Germany and other strong euro-zone countries, trying to fashion a second bailout for Greece, want the country's private-sector creditors to bear some of the burden in exchange for granting new taxpayer money to Athens. The European Central Bank, however, backed by France, doesn't want to do anything that would cast Greece into default or trigger losses for banks that hold its government bonds.",World News: Europe Wrestles With Solutions for Greek Debt Crisis,The Wall Street Journal
1988,"Dhume, Sadanand","Aug 18, 2011",747," [...] Pakistani authorities, and the local reporters they hold sway over, have an incentive to fabricate or exaggerate casualty figures. [...] the reports rely, at least in part, on information provided by a Pakistani lawyer who publicly outed the CIA's undercover station chief last year.",The Morality of Drone Warfare,The Wall Street Journal
1989,"Gold, Russell","Mar 31, 2011",1143," Getting to the front of a new global industry could mean creating an engine that generates jobs and economic output for generations. [...] renewable energy, including geothermal and recycled municipal waste, is cleaner than existing fossil fuels, reducing carbon-dioxide emissions as well as local pollutants.","Wind, Solar Energy Still Face Big Hurdles --- Renewables Blunted by Costs, Grid",The Wall Street Journal
