,abstract,author,blog,headline,id,keywords,lead_paragraph,news_desk,pub_date,seo_headline,snippet,source,url,word_count
266,,JEFF ZELENY,[],"In 90-Minute Debate, 2 Candidates Stand on Equal Footing",507c49d395e998af71184d14,"[{u'rank': u'5', u'name': u'glocations', u'value': u'Denver (Colo)'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'2', u'name': u'subject', u'value': u'Debates (Political)'}]",Wednesday’s debate will provide ample opportunity for robust exchanges and a level of specificity that both sides have often sought to avoid.,U.S. / Politics,2012-10-03T00:00:00Z,"In Debate, Obama and Romney Stand on Equal Footing",Wednesday’s debate will provide ample opportunity for robust exchanges and a level of specificity that both sides have often sought to avoid.,The New York Times,http://www.nytimes.com/2012/10/03/us/politics/in-debate-obama-and-romney-stand-on-equal-footing.html,1099
267,,JIM RUTENBERG and JEREMY W. PETERS,[],Obama Outspending Romney on TV Ads,507c49d395e998af71184d16,"[{u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'Political Advertising'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}]","Democrats had predicted that President Obama would be outgunned on ads by Mitt Romney, but the president, at least for now, has the advantage.",U.S. / Politics,2012-10-03T00:00:00Z,Obama Outspending Romney on TV Ads,"Democrats had predicted that President Obama would be outgunned on ads by Mitt Romney, but the president, at least for now, has the advantage.",The New York Times,http://www.nytimes.com/2012/10/03/us/politics/obama-outspending-romney-on-tv-ads.html,990
268,"""Review of Mitt Romney's tax returns finds that offshore arrangements made through his former company Bain Capital were part of tax-avoidance strategies that have enhanced his income;"" Bain, as well as other private equity firms, goes to great lengths to minimize the taxes borne by its investors, substantially increasing their wealth.",MICHAEL LUO and MIKE McINTIRE,[],Offshore Tactics Helped Increase Romneys’ Wealth,507c48d995e998af71184993,"[{u'value': u'Sankaty Advisors LLC', u'is_major': u'N', u'rank': u'5', u'name': u'organizations'}, {u'value': u'Income Tax', u'is_major': u'Y', u'rank': u'7', u'name': u'subject'}, {u'value': u'Cayman Islands', u'is_major': u'N', u'rank': u'6', u'name': u'glocations'}, {u'value': u'Bain Capital', u'is_major': u'Y', u'rank': u'3', u'name': u'organizations'}, {u'value': u'Private Equity', u'is_major': u'Y', u'rank': u'8', u'name': u'subject'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'1', u'name': u'persons'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'2', u'name': u'subject'}, {u'value': u'Tax Shelters', u'is_major': u'Y', u'rank': u'4', u'name': u'subject'}]","Offshore arrangements made through Mitt Romney’s former company, Bain Capital, were part of tax-avoidance strategies that have enhanced his income.",National,2012-10-02T00:00:00Z,Bain’s Offshore Strategies Grew Romneys’ Wealth,"Offshore arrangements made through Mitt Romney’s former company, Bain Capital, were part of tax-avoidance strategies that have enhanced his income.",The New York Times,http://www.nytimes.com/2012/10/02/us/politics/bains-offshore-strategies-grew-romneys-wealth.html,1698
269,,ERIC LIPTON,[],A Legal Circle Reaches Deep to Aid Obama,507c4bc595e998af7118576e,"[{u'rank': u'5', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'8', u'name': u'organizations', u'value': u'Securities and Exchange Commission'}, {u'rank': u'6', u'name': u'subject', u'value': u'Campaign Finance'}, {u'rank': u'3', u'name': u'subject', u'value': u'Frauds and Swindling'}, {u'rank': u'2', u'name': u'subject', u'value': u'Legal Profession'}, {u'rank': u'1', u'name': u'subject', u'value': u'Whistle-Blowers'}, {u'rank': u'7', u'name': u'subject', u'value': u'Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}]","Attorneys who represent whistle-blowers have made millions as the Obama administration cracks down on corporate fraud, and are now donating heavily to the president’s re-election campaign.",U.S. / Politics,2012-10-02T00:00:00Z,Whistle-Blowers’ Lawyers Donate to Obama Campaign,"Attorneys who represent whistle-blowers have made millions as the Obama administration cracks down on corporate fraud, and are now donating heavily to the president’s re-election campaign.",The New York Times,http://www.nytimes.com/2012/10/02/us/politics/whistle-blower-lawyers-donate-to-obama-campaign.html,1337
270,,MICHAEL D. SHEAR and ASHLEY PARKER,[],Romney Campaign Expands Focus Beyond the Economy,507c48da95e998af71184a3d,"[{u'rank': u'5', u'name': u'subject', u'value': u'Labor and Jobs'}, {u'rank': u'6', u'name': u'subject', u'value': u'Debates (Political)'}, {u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'2', u'name': u'subject', u'value': u'United States Economy'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}]","With Mitt Romney’s economic arguments faltering, his team plans to refocus its criticisms on energy, health care, taxes, spending and foreign affairs policies.",U.S. / Politics,2012-10-02T00:00:00Z,Romney Broadens Focus as Economic Argument Sputters,"With Mitt Romney’s economic arguments faltering, his team plans to refocus its criticisms on energy, health care, taxes, spending and foreign affairs policies.",The New York Times,http://www.nytimes.com/2012/10/02/us/politics/as-economic-argument-sputters-romney-broadens-focus.html,868
271,,JONATHAN WEISMAN,[],Leaders at Work on Plan to Avert Mandatory Cuts,507c48d995e998af7118498b,"[{u'rank': u'5', u'name': u'organizations', u'value': u'Senate'}, {u'rank': u'6', u'name': u'organizations', u'value': u'House of Representatives'}, {u'rank': u'3', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'2', u'name': u'subject', u'value': u'Taxation'}, {u'rank': u'1', u'name': u'subject', u'value': u'Federal Budget (US)'}, {u'rank': u'7', u'name': u'subject', u'value': u'Budget Control Act (2011)'}, {u'rank': u'4', u'name': u'subject', u'value': u'Presidential Election of 2012'}]",A bipartisan group of senators is coalescing around an ambitious three-step process to avert automatic tax increases and deep spending cuts facing the country in January.,U.S.,2012-10-02T00:00:00Z,Senate Leaders at Work on Plan to Avert Automatic Cuts,A bipartisan group of senators is coalescing around an ambitious three-step process to avert automatic tax increases and deep spending cuts facing the country in January.,The New York Times,http://www.nytimes.com/2012/10/02/us/senate-leaders-at-work-on-plan-to-avert-fiscal-cliff.html,1102
272,,JEREMY W. PETERS,[],"Playing Roles of Referee and, Increasingly, Target During Debates",507c49d395e998af71184d1e,"[{u'rank': u'5', u'name': u'persons', u'value': u'Raddatz, Martha'}, {u'rank': u'6', u'name': u'persons', u'value': u'Schieffer, Bob'}, {u'rank': u'3', u'name': u'persons', u'value': u'Lehrer, Jim'}, {u'rank': u'1', u'name': u'subject', u'value': u'Debates (Political)'}, {u'rank': u'4', u'name': u'persons', u'value': u'Crowley, Candy'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}]","The role of a presidential debate moderator, a task that once stood as a crowning and coveted journalistic achievement, is now subject to partisan rancor.",U.S. / Politics,2012-10-02T00:00:00Z,Debate Moderators Are Subject to Partisan Rancor,"The role of a presidential debate moderator, a task that once stood as a crowning and coveted journalistic achievement, is now subject to partisan rancor.",The New York Times,http://www.nytimes.com/2012/10/02/us/politics/debate-moderators-are-subject-to-partisan-rancor.html,909
273,,LAWRENCE M. KRAUSS,[],"With Limited Budgets, Pursuing Science Smartly",507c48da95e998af71184a78,"[{u'rank': u'5', u'name': u'subject', u'value': u'Curiosity (Mars Rover)'}, {u'rank': u'3', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'2', u'name': u'subject', u'value': u'Space'}, {u'rank': u'1', u'name': u'subject', u'value': u'Science and Technology'}, {u'rank': u'4', u'name': u'subject', u'value': u'Presidential Election of 2012'}]","To one physicist, exploring space with remote technology like the Mars rover seems more worthwhile, and more exciting, than human spaceflight.",Science,2012-10-02T00:00:00Z,,"To one physicist, exploring space with remote technology like the Mars rover seems more worthwhile, and more exciting, than human spaceflight.",The New York Times,http://www.nytimes.com/2012/10/02/science/with-limited-budgets-pursuing-science-smartly.html,947
274,"Pres Obama, Mitt Romney and a handful of super PACs have all run campaign advertisements during ABC's Dancing With the Stars, show that boasts a large audience of older women, a key voting demographic.",JEREMY W. PETERS,[],Flooding the Dance Floor With Political Pitches,507c480695e998af7118472d,"[{u'value': u'Advertising and Marketing', u'is_major': u'N', u'rank': u'5', u'name': u'subject'}, {u'value': u'Dancing With the Stars (TV Program)', u'is_major': u'Y', u'rank': u'1', u'name': u'creative_works'}, {u'value': u'Television', u'is_major': u'Y', u'rank': u'8', u'name': u'subject'}, {u'value': u'Obama, Barack', u'is_major': u'N', u'rank': u'6', u'name': u'persons'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'7', u'name': u'persons'}, {u'value': u'Political Advertising', u'is_major': u'Y', u'rank': u'3', u'name': u'subject'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'2', u'name': u'subject'}, {u'value': u'Political Action Committees', u'is_major': u'N', u'rank': u'4', u'name': u'subject'}]",The ABC competition show “Dancing With the Stars” is a favorite among political media buyers as they seek out certain constituencies.,National,2012-10-01T00:00:00Z,Political Ads Flood &#8216;Dancing With the Stars&#8217;,The ABC competition show “Dancing With the Stars” is a favorite among political media buyers as they seek out certain constituencies.,The New York Times,http://www.nytimes.com/2012/10/01/us/politics/political-ads-flood-dancing-with-the-stars.html,416
275,"Actress Jane Edith Wilson manages to convince Republican presidential candidates and others that she’s a conservative who’s worried about the country in the mockumentary Janeane From Des Moines, showing at the Toronto International Film Festival.",JOHN ANDERSON,[],A Mockumentary Pulls In Real Players,507c480695e998af71184732,"[{u'value': u'United States Politics and Government', u'is_major': u'N', u'rank': u'5', u'name': u'subject'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'1', u'name': u'subject'}, {u'value': u'Wilson, Jane Edith', u'is_major': u'Y', u'rank': u'8', u'name': u'persons'}, {u'value': u'Actors and Actresses', u'is_major': u'N', u'rank': u'6', u'name': u'subject'}, {u'value': u'Toronto International Film Festival', u'is_major': u'Y', u'rank': u'9', u'name': u'subject'}, {u'value': u'Lee, Grace', u'is_major': u'N', u'rank': u'7', u'name': u'persons'}, {u'value': u'Movies', u'is_major': u'Y', u'rank': u'2', u'name': u'subject'}, {u'value': u'Documentary Films and Programs', u'is_major': u'N', u'rank': u'4', u'name': u'subject'}]","Jane Edith Wilson, an actress, managed to secure a 10-minute talk with Michele Bachmann, and a hug from Mitt Romney.",Culture,2012-10-01T00:00:00Z,"‘Janeane From Des Moines,’ Mock Documentary, Hits the Right","Jane Edith Wilson, an actress, managed to secure a 10-minute talk with Michele Bachmann, and a hug from Mitt Romney.",The New York Times,http://www.nytimes.com/2012/10/01/movies/janeane-from-des-moines-mock-documentary-hits-the-right.html,1075
276,,DAVID CARR,[],Tired Cries of Bias Don’t Help Romney,507c49f195e998af71185086,"[{u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'News and News Media'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}]",The mainstream media are frequently faulted as biased against conservative causes. But it seems a dubious notion when the ownership of the megaphone is increasingly up for grabs.,Business Day / Media & Advertising,2012-10-01T00:00:00Z,Challenging the Claims of Media Bias - the Media Equation,The mainstream media are frequently faulted as biased against conservative causes. But it seems a dubious notion when the ownership of the megaphone is increasingly up for grabs.,The New York Times,http://www.nytimes.com/2012/10/01/business/media/challenging-the-claims-of-media-bias-the-media-equation.html,1134
277,,NATE SILVER,[],Last 10 Presidential Elections Show No Consistent Bias in Polls,507c48eb95e998af71184b38,"[{u'rank': u'5', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'3', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'1', u'name': u'subject', u'value': u'Polls and Public Opinion'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}]","Some Republicans complain of a tilt toward Obama in the polls. But in elections past, the forecasts have overestimated on both sides.",U.S.,2012-10-01T00:00:00Z,Last 10 Presidential Elections Show No Consistent Bias in Polls,"Some Republicans complain of a tilt toward Obama in the polls. But in elections past, the forecasts have overestimated on both sides.",The New York Times,http://www.nytimes.com/2012/10/01/us/last-10-presidential-elections-show-no-consistent-bias-in-polls.html,1154
278,,MARK LANDLER,[],"As Candidates Drill for Debates, More Jousting on Libya",507c480795e998af71184740,"[{u'rank': u'5', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'8', u'name': u'glocations', u'value': u'Libya'}, {u'rank': u'6', u'name': u'persons', u'value': u'Stevens, J Christopher'}, {u'rank': u'9', u'name': u'subject', u'value': u'Debates (Political)'}, {u'rank': u'3', u'name': u'subject', u'value': u'United States International Relations'}, {u'rank': u'2', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'7', u'name': u'creative_works', u'value': u'Innocence of Muslims (Movie)'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}]","President Obama and Mitt Romney prepared for their debate, with the Obama administration fending off questions about its handling of the Benghazi attack.",U.S. / Politics,2012-10-01T00:00:00Z,Candidates Prepare for Debate as Libya Criticism Intensifies,"President Obama and Mitt Romney prepared for their debate, with the Obama administration fending off questions about its handling of the Benghazi attack.",The New York Times,http://www.nytimes.com/2012/10/01/us/politics/candidates-prepare-for-debate-as-libya-criticism-intensifies.html,865
279,,JOHN HARWOOD,[],"Debates Can Shift a Race’s Outcome, but It’s Not Easy",507c48d995e998af7118498a,"[{u'rank': u'5', u'name': u'persons', u'value': u'Kennedy, John Fitzgerald'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'6', u'name': u'persons', u'value': u'Bush, George W'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'7', u'name': u'subject', u'value': u'Presidential Election of 2000'}, {u'rank': u'2', u'name': u'subject', u'value': u'Debates (Political)'}]","History shows that candidates have different ways to score in presidential debates and change voters’ minds, but only twice have debates appeared to alter the election’s result.",U.S. / Politics,2012-10-01T00:00:00Z,Using Debates to Turn Electoral Tide: Difficult but Not Impossible,"History shows that candidates have different ways to score in presidential debates and change voters’ minds, but only twice have debates appeared to alter the election’s result.",The New York Times,http://www.nytimes.com/2012/10/01/us/politics/using-debates-to-turn-electoral-tide-difficult-but-not-impossible.html,1030
280,"""Mitt Romney's energy agenda in the presidential campaign is far different than the one he outlined in his early days as governor of Massachusetts;"" Romney's policies gradually became more conservative as his tenure as governor came to an end indicating a shift taken in order to become a more viable Republican presidential candidate.",SHERYL GAY STOLBERG,[],Romney Shifted Right on Energy as Presidential Politics Beckoned,507c4aba95e998af71185198,"[{u'value': u'Republican Party', u'is_major': u'N', u'rank': u'5', u'name': u'organizations'}, {u'value': u'Energy and Power', u'is_major': u'Y', u'rank': u'9', u'name': u'subject'}, {u'value': u'Fuel Efficiency', u'is_major': u'N', u'rank': u'7', u'name': u'subject'}, {u'value': u'Massachusetts', u'is_major': u'N', u'rank': u'6', u'name': u'glocations'}, {u'value': u'Global Warming', u'is_major': u'N', u'rank': u'3', u'name': u'subject'}, {u'value': u'Regional Greenhouse Gas Initiative', u'is_major': u'N', u'rank': u'8', u'name': u'organizations'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'1', u'name': u'persons'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'2', u'name': u'subject'}, {u'value': u'Greenhouse Gas Emissions', u'is_major': u'N', u'rank': u'4', u'name': u'subject'}]",Mitt Romney is more apt today to talk about his support for oil drilling than about the environmental policies that he advocated while governor of Massachusetts.,National,2012-09-30T00:00:00Z,Romney Energy Agenda Shifted,Mitt Romney is more apt today to talk about his support for oil drilling than about the environmental policies that he advocated while governor of Massachusetts.,The New York Times,http://www.nytimes.com/2012/09/30/us/politics/romney-energy-agenda-shifted.html,1760
281,,STUART EMMRICH,[],Hot-Button Issue: The ‘Hot’ Factor,507c4acf95e998af711853c0,"[{u'rank': u'3', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'1', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'4', u'name': u'subject', u'value': u'Social Networking (Internet)'}]","For President Obama and Mitt Romney, taxes, health care, jobs and international affairs may be subject to debate. On some social media sites, the topic is who’s hot.",Fashion & Style,2012-09-30T00:00:00Z,The ‘Hot’ Factor: A Hot-Button Issue for Debate,"For President Obama and Mitt Romney, taxes, health care, jobs and international affairs may be subject to debate. On some social media sites, the topic is who’s hot.",The New York Times,http://www.nytimes.com/2012/09/30/fashion/the-hot-factor-a-hot-button-issue-for-debate.html,526
282,,JEREMY W. PETERS,[],The New Stars in Republican Commercials Attacking Obama: Babies,507c4bc495e998af711856d5,"[{u'rank': u'5', u'name': u'subject', u'value': u'Babies and Infants'}, {u'rank': u'6', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'3', u'name': u'subject', u'value': u'Political Advertising'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'United States Economy'}]",Attack ads from Republicans are using babies to target politically independent women with an emphasis on what effect the deficit will have on their children.,U.S. / Politics,2012-09-30T00:00:00Z,The New Stars in Republican Commercials Attacking Obama: Babies,Attack ads from Republicans are using babies to target politically independent women with an emphasis on what effect the deficit will have on their children.,The New York Times,http://www.nytimes.com/2012/09/30/us/politics/gop-strategists-ads-warn-president-obama-is-bad-for-babies.html,1053
283,,FERNANDA SANTOS,[],New Mexico Offers Look at U.S. Elections of the Future,507c4bc495e998af711856e6,"[{u'rank': u'5', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'3', u'name': u'subject', u'value': u'Voting and Voters'}, {u'rank': u'6', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'glocations', u'value': u'New Mexico'}, {u'rank': u'2', u'name': u'subject', u'value': u'Hispanic-Americans'}]","The unique demographics of New Mexico are significant for both campaigns, which have been there trying to engage Latino voters — eyeing both the November vote and others to come.",U.S. / Politics,2012-09-30T00:00:00Z,,"The unique demographics of New Mexico are significant for both campaigns, which have been there trying to engage Latino voters — eyeing both the November vote and others to come.",The New York Times,http://www.nytimes.com/2012/09/30/us/politics/new-mexico-gives-look-into-politics-of-future.html,1235
284,,FLOYD NORRIS,[],Viewing the Economy Through Campaign Glasses,507c4bc495e998af711856ab,"[{u'rank': u'5', u'name': u'subject', u'value': u'Real Estate and Housing (Residential)'}, {u'rank': u'6', u'name': u'subject', u'value': u'Consumer Confidence (Economic Indicator)'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'1', u'name': u'subject', u'value': u'United States Economy'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}]","Over the short term, several trends would appear to favor President Obama; longer term, they seem to reflect Mitt Romney’s views.",Business Day,2012-09-29T00:00:00Z,The Economy Through Campaign Glasses,"Over the short term, several trends would appear to favor President Obama; longer term, they seem to reflect Mitt Romney’s views.",The New York Times,http://www.nytimes.com/2012/09/29/business/the-economy-through-campaign-trail-glasses-off-the-charts.html,575
285,,JAMES B. STEWART,[],Perspective Is at Play in Who Is ‘Better Off’,507c4ad295e998af71185436,"[{u'rank': u'3', u'name': u'subject', u'value': u'Economic Conditions and Trends'}, {u'rank': u'2', u'name': u'subject', u'value': u'United States Economy'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}]","Those who have done well don’t seem more likely to vote for President Obama, and those with less money appear to be least likely to vote for Mitt Romney.",Business Day,2012-09-29T00:00:00Z,"For Americans, Wealth Isn&#8217;t a Clear Indicator of Voting Behavior","Those who have done well don’t seem more likely to vote for President Obama, and those with less money appear to be least likely to vote for Mitt Romney.",The New York Times,http://www.nytimes.com/2012/09/29/business/for-americans-wealth-isnt-a-clear-indicator-of-voting-behavior.html,1495
286,,SCOTT SHANE,[],Romney Team Tries Hanging a Jimmy Carter Label on Obama,507c4bc495e998af71185715,"[{u'rank': u'5', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'3', u'name': u'persons', u'value': u'Carter, Jimmy'}, {u'rank': u'2', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'subject', u'value': u'United States International Relations'}]","Though there are some surface similarities between the Carter and Obama administrations, experts say the comparison can go only so far.",U.S. / Politics,2012-09-29T00:00:00Z,Romney Compares Obama Presidency to Carter’s,"Though there are some surface similarities between the Carter and Obama administrations, experts say the comparison can go only so far.",The New York Times,http://www.nytimes.com/2012/09/29/us/politics/romney-compares-obama-presidency-to-carters.html,1110
287,,MARK LANDLER,[],Shifting Reports on Libya Killings May Cost Obama,507c48dc95e998af71184ac5,"[{u'rank': u'5', u'name': u'creative_works', u'value': u'Innocence of Muslims (Movie)'}, {u'rank': u'9', u'name': u'organizations', u'value': u'Ansar al-Shariah'}, {u'rank': u'6', u'name': u'persons', u'value': u'Stevens, J Christopher'}, {u'rank': u'3', u'name': u'subject', u'value': u'United States International Relations'}, {u'rank': u'11', u'name': u'persons', u'value': u'Clapper, James R Jr'}, {u'rank': u'8', u'name': u'glocations', u'value': u'Libya'}, {u'rank': u'10', u'name': u'subject', u'value': u'Diplomatic Service, Embassies and Consulates'}, {u'rank': u'1', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'4', u'name': u'subject', u'value': u'Middle East and North Africa Unrest (2010- )'}, {u'rank': u'7', u'name': u'subject', u'value': u'Espionage and Intelligence Services'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}]","Changing explanations of the attack on the diplomatic compound in Libya have left President Obama exposed on foreign policy, where he had enjoyed an advantage over Mitt Romney.",U.S. / Politics,2012-09-29T00:00:00Z,,"Changing explanations of the attack on the diplomatic compound in Libya have left President Obama exposed on foreign policy, where he had enjoyed an advantage over Mitt Romney.",The New York Times,http://www.nytimes.com/2012/09/29/us/politics/shifting-reports-on-libya-killings-may-cost-obama.html,1098
288,,PETER BAKER and ASHLEY PARKER,[],"Before Debate, Tough Crowds at the Practice",507c49d395e998af71184ce2,"[{u'rank': u'5', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'6', u'name': u'organizations', u'value': u'Democratic Party'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'7', u'name': u'persons', u'value': u'Portman, Rob'}, {u'rank': u'2', u'name': u'subject', u'value': u'Debates (Political)'}]","Mitt Romney’s team hopes to create moments in the debate on Wednesday, while President Obama is aiming for a workmanlike performance, aides said.",U.S. / Politics,2012-09-29T00:00:00Z,Cramming and Pruning for First Presidential Debate,"Mitt Romney’s team hopes to create moments in the debate on Wednesday, while President Obama is aiming for a workmanlike performance, aides said.",The New York Times,http://www.nytimes.com/2012/09/29/us/politics/cramming-and-pruning-for-first-presidential-debate.html,1371
289,,MICHAEL COOPER,[],"Romney, Appealing to Wider Audience, Recalibrates Message",507c4bc495e998af71185728,"[{u'rank': u'5', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'3', u'name': u'organizations', u'value': u'Republican Party'}, {u'rank': u'6', u'name': u'subject', u'value': u'Health Insurance and Managed Care'}, {u'rank': u'1', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'4', u'name': u'subject', u'value': u'Taxation'}, {u'rank': u'7', u'name': u'subject', u'value': u'Reform and Reorganization'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}]","In a sign that he is trying to attract more moderate general election voters, Mitt Romney is refining how he discusses taxes and health care.",U.S. / Politics,2012-09-29T00:00:00Z,"Romney, Appealing to Wider Audience, Recalibrates Message","In a sign that he is trying to attract more moderate general election voters, Mitt Romney is refining how he discusses taxes and health care.",The New York Times,http://www.nytimes.com/2012/09/29/us/politics/romney-appealing-to-wider-audience-recalibrates-message.html,881
290,,WILLIAM GRIMES,[],An Enduring Ritual of Politics Loud and Close,507c462495e998af711840b4,"[{u'rank': u'5', u'name': u'glocations', u'value': u'Ohio'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'persons', u'value': u'Romney, Mitt'}]","President Obama and Mitt Romney crisscrossed Ohio on Wednesday, speaking to supporters at events essentially unchanged since the days of Andrew Jackson.",U.S. / Politics,2012-09-28T00:00:00Z,"The Rally, an Enduring Ritual of Politics Loud and Close","President Obama and Mitt Romney crisscrossed Ohio on Wednesday, speaking to supporters at events essentially unchanged since the days of Andrew Jackson.",The New York Times,http://www.nytimes.com/2012/09/28/us/politics/the-rally-an-enduring-ritual-of-politics-loud-and-close.html,949
291,,CHARLIE SAVAGE,[],Election to Decide Future Interrogation Methods in Terrorism Cases,507c462495e998af711840be,"[{u'rank': u'5', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'6', u'name': u'subject', u'value': u'Detainees'}, {u'rank': u'1', u'name': u'subject', u'value': u'Torture'}, {u'rank': u'4', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'subject', u'value': u'Interrogations'}]",The future of American government practices when interrogating high-level terrorism suspects appears likely to turn on the outcome of the presidential race.,U.S. / Politics,2012-09-28T00:00:00Z,Election Will Decide Future of Interrogation Methods for Terrorism Suspects,The future of American government practices when interrogating high-level terrorism suspects appears likely to turn on the outcome of the presidential race.,The New York Times,http://www.nytimes.com/2012/09/28/us/politics/election-will-decide-future-of-interrogation-methods-for-terrorism-suspects.html,1300
