,abstract,author,date,headline,section,source,word_count,id,candidate
791," MITT ROMNEY'S first reaction was: ""What is happening to the jobs?"" I had called then-Governor Romney at his New Hampshire vacation home in 2003 to inform him that the John Hancock Financial Services, a century-old Boston company, was being sold to a Canadian corporation. [...] some of these will fail.","D'Alessandro, David",2012-01-25,"As governor, Romney was a bulldog for jobs",Editorial,Boston Globe,644.0,791,Romney
797," RE ""Romney rues bullying as teen"" (Page A12, May 11): Mitt Romney and fellow Republicans wonder why the so-called liberal media is making a big deal over an incident that happened decades ago, in which, as a teen, Romney reportedly cut a fellow student's hair while other students held him down.",,2012-05-12,What matters now is his vague recall of incident,EditorialOpinion,Boston Globe,283.0,797,Romney
798," Whenever an initially attractive alternative catches conservatives' eye, he or she becomes the object of right-wing fantasies - until personal or political flaws become too obvious to ignore. [...] egomaniacal publicity hound Donald Trump surfed a wave of birther buffoonery to a top spot in the polls this spring, before predictably opting not to run. [...] Michele Bachmann enjoyed a brief period of stardom until it became obvious just how lightly hinged the fringe Minnesota congresswoman really is.","Lehigh, Scot",2011-11-09,Mitt Romney is one lucky candidate,Opinion,Boston Globe,697.0,798,Romney
800, Scot Lehigh gives an agrument on why W. Mitt Romney remains best positioned in the Presidential Republican race.,"Lehigh, Scot",2012-01-04,Romney's harvest,,Boston Globe,,800,Romney
805," Romney also got a laugh when he said the homegrown benefits of Texas - zero income tax, a Republican legislature, a Republican Supreme Court and lots of oil - diminish the governor's jobs record.","vennochi, joan",2011-09-13,A grim night for Perry; a good one for Romney,Editorial,Boston Globe,361.0,805,Romney
811, ASSOCIATED PRESS Heckler disrupts speech by Sebelius at Georgetown WASHINGTON - Health and Human Services Secretary Kathleen Sebelius paid homage to religious freedom and the separation of church and state in a graduation speech Friday at Georgetown University that was briefly interrupted by an antiabortion heckler.,"Kranish, Michael",2012-05-19,"Romneys donate $150,000 to campaign",National,Boston Globe,755.0,811,Romney
813," Romney, a Mormon, was hurt in Iowa in 2008 by the winner in the state, Mike Huckabee, a pastor who drew support from Christians who were uncomfortable with Romney's faith. Since the 2008 election, Romney has been in Iowa for a grand total of three days, according to IowaPolitics.com.","Viser, Matt",2011-05-28,Romney treads lightly in Iowa,National,Boston Globe,959.0,813,Romney
836," [...] benefiting from an immense war chest, far-reaching organization, and support from the Republican establishment, Romney is in a position to steal Gingrich's most lethal weapon - momentum - as the race moves to a larger, more costly national stage.","Levenson, Michael; Viser, Matt",2012-01-30,Romney flexing his strength in Florida,National,Boston Globe,1158.0,836,Romney
839, A Dan Wasserman editorial cartoon spoofs the battle between W. Mitt Romney and Newt Gingrich's for the conservative base to become the Republican party's presidential nominee.,Dan Wasserman,2011-12-14,Editorial cartoon,,Boston Globe,,839,Romney
841," Republican presidential candidate Newt Gingrich shows no sign of letting up on his attacks against Mitt Romney, despite losing Saturday's Nevada caucuses to Romney by a large margin.","Schoenberg, Shira",2012-02-06,"After Nevada loss, Gingrich continues attack",National,Boston Globe,714.0,841,Romney
843," WASHINGTON - Rick Santorum's convincing wins in Tuesday's Deep South double-header shook up the GOP presidential primary contest once again, highlighting front-runner Mitt Romney's chronic weaknesses among conservatives while raising questions about Newt Gingrich's ability to remain a major force in the nominating race. After failing to land knockout punches on Super Tuesday - or in Mississippi and Alabama - Romney's campaign remains focused on grinding out small delegate victories - state by state, even territory by territory (think Guam and the Northern Mariana Islands) - with the expectation that Santorum and Gingrich will eventually capitulate.","Rowland, Christopher",2012-03-14,It's the worst of outcomes for ex-governor,National,Boston Globe,1019.0,843,Romney
845," After House Speaker Robert DeLeo said he would not support Governor Deval Patrick's proposal to include $260 million in new taxes and fees in the state's fiscal year 2013 budget, it prompted a natural question:",,2012-02-12,"Romney, a critic of earmarks, once inspired a local one How will DeLeo close budget gap? After spate of bad news, Murray works to cast his public service in a favorable light",Metro,Boston Globe,731.0,845,Romney
851," GREENVILLE, S.C. - Mitt Romney, who has joined every debate that has been held since he joined the presidential race, has yet to confirm he will participate in Monday night's faceoff in Florida.","Viser, Matt",2012-01-21,Romney not committed to Fla. debate,National,Boston Globe,211.0,851,Romney
858," DES MOINES - This weekend's debate between the Republican presidential contenders produced perhaps the first $10,000 bet ever offered between two White House candidates, but it arguably did little else to change the dynamic of the race just three weeks before the leadoff Iowa caucuses. [...] he asked Romney about a comment made by Gingrich in which the former House speaker said he was a more ""consistent conservative"" than the former Massachusetts governor.","Johnson, Glen",2011-12-12,Debate doesn't shift state of campaign,National,Boston Globe,1028.0,858,Romney
863," A statement from GREATER MEDIA INC. after the company fired controversial talk-show host Jay Severin Every passing day that Donald Trump or Michele Bachmann or Newt Gingrich do and say things that are, to many, embarrassing, is a good day for Mitt Romney. -",Anonymous,2011-04-09,Quotes of note,Opinion,Boston Globe,145.0,863,Romney
865, [...] I went to the then 37-year-old Tagg only after having heard the Seamus story at the very end of a long interview with a close friend of the Romney family.,"Swidey, Neil",2012-01-08,What our fascination with Mitt Romney's dog Seamus says about our culture,Magazine,Boston Globe,1355.0,865,Romney
881," [...] a group of activists organized by FreedomWorks, a Washington-based group at the forefront of the Tea Party movement, protested Romney's appearance, saying his record contradicts Tea Party ideals. [...] Romney has mostly appealed to moderate Republicans, with the most conservative voters favoring Representative Michele Bachmann of Minnesota, who started a Tea Party caucus in Congress, and now Governor Rick Perry of Texas.","Schoenberg, Shira",2011-09-05,"At Tea Party rally, Romney rips president",National,Boston Globe,928.0,881,Romney
886," If the Romney-Perry onstage encounters have proved diverting political theater, offstage the battle has continued fast and furiously, with the two camps trading regular e-mail enfilades, accusing each other of retreats, evasions, distortions, and the like.","Lehigh, Scot",2011-09-30,A flipper exposes a flopper,Opinion,Boston Globe,684.0,886,Romney
887," LAS VEGAS - Presidential candidate Mitt Romney faced withering attacks from GOP debate rivals last night over the health care plan he spearheaded in Massachusetts, his perceived proclivity for switching positions, and his former lawn company's use of illegal immigrants to mow the grass at his Belmont home four years ago. Romney faced similar charges on immigration when he ran for the GOP nomination in 2008 after the Globe reported that the company he hired for his landscaping, Community Lawn Service, continued to employ illegal immigrants a year after the newspaper uncovered the hiring practices.","Viser, Matt; Tracy, Jan",2011-10-19,"TEMPERS FLARE IN GOP DEBATE Opponents hit hard at Romney, Cain",National,Boston Globe,1290.0,887,Romney
888," [...] can he convince a broad swath of Americans that he feels their pain, even though he made some of his fortune causing pain to workers who were cut loose in the name of corporate reorganization?","Vennochi, Joan",2011-10-16,The GOP race: It's Romney vs. Romney,Opinion,Boston Globe,695.0,888,Romney
898," Most people couldn't afford it without insurance, said Philip J. Edmundson, a universal health care advocate and chairman of William J. Gallagher Associates, the largest New England benefits insurance broker. Because of Romney's leadership in Massachusetts, Ann Romney could not be denied health insurance because of a pre-existing condition.","Vennochi, Joan",2012-03-08,Taking measure of health and wealth,Opinion,Boston Globe,729.0,898,Romney
904," MYRTLE BEACH, S.C. - Republican front-runner Mitt Romney came under fierce attacks in a crucial debate last night, with his opponents calling on him to release his income tax returns, criticizing business decisions that led to laid off workers, and questioning his conservative credentials. ""If in fact you felt so passionately about this,"" Santorum said, ""then why didn't you try to change that when you were governor of Massachusetts?"" Several times, the candidates sparred over the role of money in politics, which has been a common theme in this campaign season as outside groups have taken advantage of loosened finance laws to air negative attack ads.","Viser, Matt; Tracy, Jan",2012-01-17,Rivals rip Romney in S.C. debate,National,Boston Globe,1368.0,904,Romney
907," [...] Mitt Romney's recently published and ridiculously titled ""No Apology"" isn't the barnburner his advisers probably hoped it would be, but trust funds and root beer floats aren't the stuff of childhood drama. Brown is so graphic in his description of sex abuse by an unidentified perpetrator at an unnamed summer camp on the Cape that he can't be quoted here.","McGrory, Brian",2011-02-18,Getting too personal,Metro,Boston Globe,666.0,907,Romney
908," Mitt Romney rode into this political vacuum yesterday, making his first trip of the Republican presidential primary season to a crucial primary state where he hopes to overcome a disappointing fourth-place finish in 2008 and convince the GOP faithful that his economic-focused message will resonate in all pockets of the country. Skepticism runs deep among the state's political operatives and local party chairman, who see the same politician they saw in 2008 - with the same baggage.","Viser, Matt",2011-05-22,Romney looks for solid ground in S.C.,National,Boston Globe,1240.0,908,Romney
914," NORTHFIELD, N.H. - Of all the places I never wanted to find myself in this new year, the most obvious being any car driven by Tim Murray, a Rick Santorum for President event would rank very high on that list. After cycling through every other possible Mitt Romney alternative, the voters had just one candidate left, so there was Rick Santorum, in the right place at the right time.","McGrory, Brian",2012-01-06,Nagging questions,Metro,Boston Globe,679.0,914,Romney
916," [...] the commercial says, ""Mitt Romney's ugly attacks are going to backfire. Romney supporters criticize Santorum for his pride in securing earmarks, even though Romney also sought such federal spending requests as Massachusetts governor, as well as a 1998 vote to confirm future Supreme Court Justice Sonia Sotomayor to the federal circuit court.","Viser, Matt",2012-02-16,Santorum a threat to Romney in Mich.,National,Boston Globe,1109.0,916,Romney
924," [...] the former Massachusetts governor has conducted four tele-town hall meetings - big conference calls - with voters contacted from the state's list of absentee ballot requesters, according to Ryan Williams, a Romney campaign spokesman.","Mooney, Brian C",2012-01-25,Romney could have edge with Fla.'s early and absentee voters,National,Boston Globe,740.0,924,Romney
925," In Iowa, Gingrich appears to be replacing Herman Cain as the leading conservative caucus challenger to Romney, though poll results thus far are scant.","Katz, Alex",2011-11-28,Largest N.H. newspaper endorses Gingrich,National,Boston Globe,761.0,925,Romney
929," GILBERT, S.C. - Mitt Romney's march to the nomination, which looked to be on a smooth path only a week ago, could be knocked off course if South Carolina voters sweep Newt Gingrich to victory today, reviving his prospects and effectively anointing him as the main alternative to the former Massachusetts governor. In a sign of his darkening outlook in this crucial battleground state yesterday, Romney downplayed his chances in the primary and began shifting his focus to later states, unveiling supporters in Texas, for example, even as he and his allies attacked Gingrich in a furious, last-minute attempt to stem the former House speaker's resurgence.","Viser, Matt; Levenson, Michael",2012-01-21,Romney's lead slips away in S.C.,National,Boston Globe,1256.0,929,Romney
934," [...] it was his delivery of a blunt message yesterday to a chief rival for the GOP presidential nomination that sparked the most talk as both front-runners converged on the Granite State. Restore Our Future, an independent political action committee run by Romney supporters, has spent millions of dollars on ads targeting Gingrich.","Viser, Matt",2011-12-22,"Romney, Gingrich trade barbs on ads",National,Boston Globe,1013.0,934,Romney
941," WASHINGTON - As he reintroduces himself to Republican voters, Mitt Romney is increasingly trying to highlight a more casual side of himself and erase the image of a stuffy businessman who spent a career in boardrooms and owns three homes on both coasts. Telling his father's story seems to counter other Republicans in the field, such as former Minnesota Governor Tim Pawlenty, who frequently tells of being the first in his family to go to college, of his father driving a milk truck, and of his mother dying of cancer when he was 16.","Viser, Matt",2011-06-08,"Once a suit-and-tie guy, Romney opts for jeans",National,Boston Globe,948.0,941,Romney
942," [...] organizers have had trouble generating commitments for an Iowa forum of evangelical Christians, the type of event GOP candidates swarmed to in early 2007. [...] recently, Romney had kept a lower profile, writing opinion pieces on foreign policy but generally avoiding commenting on the dominant news of the day.","Viser, Matt",2011-01-30,Candidates hold back in GOP's silent winter,National,Boston Globe,1004.0,942,Romney
946," Romney's victory culminates years of groundwork in a state that he lost four years ago to John McCain. [...] he has methodically sought key endorsements, winning them from nearly every major current and former Republican in the state.","Levenson, Michael; Viser, Matt",2012-01-11,"Romney rolls in N.H.Paul a distant second, Huntsman third; focus turns to South Carolina",National,Boston Globe,1463.0,946,Romney
948," In ""No Apology,"" the 2010 book he frequently points to as the foundation of his platform, Romney devotes just two cursory paragraphs to abortion, makes only passing reference to gun rights, and refers to gay marriage in elliptical terms.","Levenson, Michael",2012-02-15,Santorum surge forces Romney to shift focus,National,Boston Globe,952.0,948,Romney
971, Derrick Z. Jackson states that Scott Brown and Mitt Romney are becoming a measuring stick for how extreme the Republican party has become. Jackson said both have had to contort their relatively moderate positions in Massachusetts in order to placate conservatives nationally.,"Jackson, Derrick Z",2011-03-01,Brown and Romney twist in the conservative winds,,Boston Globe,,971,Romney
986," A Dan Wasserman editorial cartoon depicts W. Mitt Romney ""tangled up in the safety net,"" as a family warms themselves over a fire asks ""Does it look good for eating? Way too oily.""",Dan Wasserman,2012-02-07,Editorial cartoon,,Boston Globe,,986,Romney
995," [...] South Carolina, it was working. The former House speaker obviously relished the trench warfare that is a hallmark of South Carolina politics - continuing to brand Romney a ""Massachusetts moderate"" - while Romney initially stuck to his strategy of staying above the primary fray and focusing his stump attacks on Obama.","Rowland, Christopher",2012-01-22,"Suddenly for Romney, Florida win seems a must",National,Boston Globe,1118.0,995,Romney
1001," Romney, who has a summer home in New Hampshire, has maintained a steady lead in the first-in-the-nation primary state. Since Friday, three polls - including a new NBC News-Marist poll out yesterday - have him remaining far ahead of his Republican rivals.\n","Rowland, Christopher",2011-10-12,Campaign downplays consultant's role,National,Boston Globe,795.0,1001,Romney
1012," A Dan Wasserman editorial cartoon depicts Republican presidential candidate Newt Gingrich drawing vampire fangs on his opponent W. Mitt Romney and saying ""I just want to make two points about Mitt.""",Dan Wasserman,2012-01-19,Editorial cartoon,,Boston Globe,,1012,Romney
1015," Yet on the presidential campaign trail these days, the former Massachusetts governor routinely slams the Chinese government, vowing that on ""Day One"" as president he'll designate China a ""currency manipulator"" and impose tariffs on Chinese exports to the United States.","Jacoby, Jeff",2011-10-26,Romney's threat to China,Editorial,Boston Globe,768.0,1015,Romney
1027," Overnight NBA sensation - and Harvard alum - Jeremy Lin, Newton-bred comic Louis C.K., MIT engineer Donald Sadoway, and presumptive Republican presidential nominee Mitt Romney, whose brief bio is written by Bain Capital cofounder Bill Bain.","Shanahan, Mark; Goldstein, Meredith",2012-04-19,Locals among Time 100,Lifestyle,Boston Globe,195.0,1027,Romney
1035, [...] health care cost increases have slowed since the passage of reform.,"Viser, Matt",2011-09-16,"Citing study, Perry campaign says Romney's plan cost Massachusetts 18,000 jobs",National,Boston Globe,736.0,1035,Romney
1050," In 2002, the freshly elected governor plucked Foy from his perch as head of the Conservation Law Foundation and, in effect, made him deputy governor, overseeing four state agencies (transportation, housing, environment, and energy). The Harbor's revival has led directly to a development boom now transforming the city.) Romney seemed like-minded, and he successfully pitched Foy on the idea of moving into government, working from the inside instead of the outside.","Keane, Tom",2012-06-17,Good Gov. Romney; Is he still there?,EditorialOpinion,Boston Globe,749.0,1050,Romney
1058," [...] it took the former House speaker almost 25 minutes before he took aim at Romney, whom Gingrich blames for a slew of negative ads running up to the Iowa caucuses.","Ryan, Andrew",2012-01-06,Gingrich aims at Romney in N.H.,National,Boston Globe,618.0,1058,Romney
1068," The 2012 presidential race is notable for the number of candidates actively appealing to fundamentalist voters - and the inability of voters to coalesce around any of them. [...] the Pew poll found some evangelical voters are not comfortable with Romney's Mormon faith, with a majority of evangelicals saying Mormonism is not a Christian religion.","Schoenberg, Shira",2011-12-28,"On candidates, N.H. evangelicals finding little unity",National,Boston Globe,892.0,1068,Romney
1070," ""Massachusetts enacted universal health care on a statewide basis in 2006, including an individual mandate and an expansion of the Medicaid rolls,"" he wrote. [...] the waiting times to see a doctor in Massachusetts have nearly doubled.","Viser, Matt",2011-08-26,Perry's critique of Romney health law has practical focus,National,Boston Globe,1276.0,1070,Romney
1073," Front-runner Mitt Romney, who holds a wide lead in statewide polls, came under assault from some of the remaining competitors as a flip-flopping moderate, presenting a test of whether he can survive sustained scrutiny of his record. Political observers said a crucial dynamic to watch in the coming week is whether former speaker of the House Newt Gingrich, who came in a disappointing fourth place in Iowa, will stay in the race partly to undercut Romney.","Kranish, Michael; Schweitzer, Sarah",2012-01-05,New dynamic for GOP as scene shifts to N.H.,National,Boston Globe,1116.0,1073,Romney
1077," Last September, Forbes magazine rated Adelson the eighth-wealthiest American, with an estimated net worth of $21.5 billion built from casinos in Las Vegas, Singapore, and the Macao district of China. [...] the Romney campaign and an allied super PAC, Restore Our Future, had dominated the Florida airwaves, outspending the Gingrich campaign and its friendly super PAC by a more than 20-to-1 ratio dating back to December.","Mooney, Brian C",2012-01-26,Romney money edge washing away in Fla.,National,Boston Globe,1154.0,1077,Romney
1081," Republican rivals have painted Boston-based Bain Capital and private equity firms like it as engaged in the wrong kind of capitalism, making money as corporate raiders who cut jobs. Bain partners - many of them friends with the man who started the firm in 1984 - would prefer to quietly run billions of dollars in private equity, venture capital, and hedge funds, without the national spotlight shining so unflatteringly on them.","Healy, Beth",2012-01-11,Romney foes put Bain on defensive,Business,Boston Globe,854.0,1081,Romney
1082," WASHINGTON - On a sunny, windswept day last June, Mitt Romney appeared at the Bittersweet Farm in New Hampshire, served up his wife's chicken-and-bean chili, and, in a speech packed with patriotic themes, formally announced he was running for president. A few hours before primary voters in Texas on Tuesday night put him over the top in delegates, giving him the 1,144 needed for his party's nomination, he was on the Las Vegas Strip, holding court with casino magnate and top Republican donor Sheldon Adelson inside his opulent Venetian Hotel. [...]while Trump helped Romney raise money, the entertainment entrepreneur's continued push to bring President Obama's birth certificate into the national political discussion highlighted the struggles Romney faces in his efforts.","Viser, Matt",2012-05-30,Romney pressing to align his backers,National,Boston Globe,1191.0,1082,Romney
1105, Romney said he has heard stories on the campaign trail about families struggling to cope with the rising gasoline prices to go to work or take children to soccer practice.,"Viser, Matt",2012-03-19,Romney urges firing of energy officials,National,Boston Globe,731.0,1105,Romney
1109, Enacting such an increase at the same time that Romney wants to slash taxes and balance the budget could cost trillions of dollars and require huge cuts in domestic programs.,"Kranish, Michael",2012-03-19,Romney's defense budget target is lofty,National,Boston Globe,1638.0,1109,Romney
1111," In one of the longest and most laugh-producing routines, Brown was unsparing in his barbs, even when it came to Mitt Romney, a fellow Republican, regarding his political advisers as he plots a second presidential campaign.","Johnson, Glen",2011-03-21,Brown lightens green,Metro,Boston Globe,1004.0,1111,Romney
1117," Sharron Angle, the Tea Party-backed candidate who lost to Democrat Harry Reid, the Senate majority leader, in 2010, endorsed Santorum yesterday, which stymied Gingrich's efforts to consolidate conservative support. The former House speaker accused both Romney and President Obama of wanting to maintain a social safety net to help the poor rather than helping them get jobs to escape poverty.","Viser, Matt; Johnson, Glen",2012-02-03,Trump endorses Romney in Nev.,National,Boston Globe,880.0,1117,Romney
1120," [...] far, Romney is on track to present himself as the establishment candidate - a responsible, mainstream Republican leader with the necessary financial resources and credentials to beat President Obama. [...] the approach carries potential risks, as the insurgent Tea Party movement shifts its focus from last year's midterms and seeks to exert its influence on the presidential election.","Viser, Matt",2011-01-21,Romney keeps away from Tea Party,National,Boston Globe,1280.0,1120,Romney
1124, Look into the future and imagine a President Mitt Romney trying to explain how he personally saved millions of dollars thanks to federal income tax rules that don't make any sense and exist to benefit just a tiny percentage of Americans like him. Consider a poll that Bloomberg News released yesterday that found two-thirds of money managers consider the low tax treatment for carried interest unjustified.,"Syre, Steven",2012-01-27,Romney gets carried away,Business,Boston Globe,706.0,1124,Romney
1133, Will the latest Massachusetts budget plan affect collective bargaining rights? How will Mitt Romney handle health care in the presidential race? A new bill which would ban pay for nonprofit board members.,Anonymous,2011-04-17,Late TV listings,National,Boston Globe,456.0,1133,Romney
1148," With a smile, Gingrich accused Romney of appointing liberal, abortion-rights-supporting judges when he was governor, adding that Romney's Massachusetts health care law uses taxpayer money to fund abortions. Super PACs, a powerful new funding vehicle created after last year's Citizens United Supreme Court decision, allow groups to raise unlimited amounts of money and face fewer restrictions than candidates' political action committees.","Viser, Matt",2012-01-06,Romney seeks to hold ground in N.H. as foes intensify their attacks,National,Boston Globe,1068.0,1148,Romney
1150," Mitt Romney is attracting heavy support for his presumptive presidential campaign from executives who occupy office towers in downtown New York, while Republicans in Congress also are soaking up large donations as they push a flurry of bills that would unravel a new consumer protection agency, scale back derivatives regulation, and more.","Slack, Donovan",2011-05-15,Bank overhaul battle pays off for Republicans,National,Boston Globe,1236.0,1150,Romney
1154," WASHINGTON - Mitt Romney, former Massachusetts governor, told conservative and evangelical voters yesterday that ""poisonous language doesn't advance our cause,"" the day after a supporter of another GOP presidential candidate described Mormonism as a cult.","Emery, Theo",2011-10-09,Romney condemns `poisonous' talk,National,Boston Globe,784.0,1154,Romney
1192," After Santorum's twin victories on Tuesday night - which reaffirmed Romney's struggles to win over the GOP base and amplified questions about Gingrich's viability - party officials and campaign advisers are now girding for a long battle that could effectively become a two-man race. With a fractured party, Romney's case for his candidacy increasingly is focused on numbers, delegates, and the rules of the Republican nominating contest.","Viser, Matt",2012-03-15,Romney still has the math in his favor,National,Boston Globe,1031.0,1192,Romney
1193," CEDAR RAPIDS, Iowa - For several days, Mitt Romney's campaign and its top supporters have done everything possible to draw sharp contrasts with Newt Gingrich, tagging the former House speaker as erratic, untrustworthy, and someone with ""a lot of baggage."" What about a new ad from a pro-Romney political action committee - a group planning to spend $3.1 million on ads in Iowa - which says Gingrich has ""too much baggage""? ""I'm not going to comment on anything PACs are going to do or say,"" Romney said.","Viser, Matt",2011-12-10,Surrogates take on job of attacking Gingrich,National,Boston Globe,830.0,1193,Romney
1197," Because when he was asked about the three-year old downturn this week, Romney insisted that Barney Frank and Chris Dodd, ""as much as anyone I know in this country, were responsible for the meltdown that we had.""","McMorrow, Paul",2011-09-09,"Romney, the rewrite man",Editorial,Boston Globe,741.0,1197,Romney
1200," Gingrich, who fell about 20 points in Iowa in 20 days after facing millions of dollars of televised attacks against him by a super political action committee that supports Romney, announced yesterday that he is planning a two-day bus tour of New Hampshire, ending speculation that he might join Perry and Bachmann in writing off the state.","Kranish, Michael",2012-01-04,"As action shifts to New Hampshire, front-runner becomes the target",National,Boston Globe,1122.0,1200,Romney
1207," Romney spokeswoman Andrea Saul shot back: ""This is simply a case of Speaker Gingrich lashing out at Governor Romney in a desperate attempt to save his floundering campaign.""","Ryan, Andrew; Levenson, Michael",2012-01-10,`Mass. moderate' insult has local Republicans wincing,Metro,Boston Globe,799.0,1207,Romney
1220, Joanna Weiss contends that Republican Presidential candidate W. Mitt Romney's Mr. Good Enough shtick is working fine right now.,"Weiss, Joanna",2011-10-02,Content to be Mr. Good Enough,,Boston Globe,,1220,Romney
1225," Mitt Romney's foreign policy spokesman, a gay man whose support for same-sex marriage infuriated social conservatives, abruptly resigned on Tuesday, saying the intense focus on his sexual orientation was making it impossible for him to do his job.","Levenson, Michael",2012-05-02,"Citing furor, Romney aide resigns",National,Boston Globe,544.0,1225,Romney
1245," ""Gingrich's career is a search for power and he sees opportunity where most people see a dead end,"" Black said, noting that Gingrich lost in his first two attempts to be elected to the House before winning. Besides counting on a Southern strategy, Gingrich must win support from Tea Party activists and others unhappy with Romney.","Bobby Caina Calvan; Kranish, Michael",2012-02-01,Gingrich to fight on but faces a tough road,National,Boston Globe,1045.0,1245,Romney
1248," ""To get that job done, I need to get Scott Brown on the reform team,"" Romney declared, as the crowd burst into chants of ""We want Brown!"" At that point, they agreed on virtually every major issue - opposing gay marriage, abolishing bilingual education, rolling back taxes, instituting the death penalty, cutting budgetary waste and inefficiency. Romney raised $100,000 for Brown, shook hands with him in barber shops and corner stores, and recorded an ad for him - all highly unusual steps for a governor to take in a state Senate race.","Levenson, Michael",2012-05-13,"Between Brown, Romney, support but little chemistry",National,Boston Globe,1263.0,1248,Romney
1249, WASHINGTON - Rick Santorum's three-state sweep this week has set the stage for a duel with Newt Gingrich over who can claim the title of conservative champion and lead alternative to Mitt Romney in the GOP nominating contest.,"Rowland, Christopher",2012-02-10,Conservative forum vital for GOP rivals today,National,Boston Globe,1001.0,1249,Romney
1250," The bill would give the governor the authority to review contracts between health insurers and health care providers, such as hospitals or doctors' groups, to determine whether the fees paid to providers are appropriate before approving insurance rates. While conceding that the state's employers have seen some of the steepest premium hikes in the nation in recent years, Andrew Dreyfus, chief executive of Blue Cross Blue Shield of Massachusetts, the state's largest health insurer, said his company's pilot global payment program has succeeded in limiting costs.","Weisman, Robert",2011-05-14,Patrick says Romney plays both sides on health care,News,Boston Globe,884.0,1250,Romney
1251," Mitt Romney narrowly beat Rick Santorum in the Ohio primary, the jewel of Super Tuesday contests, as they split most of the other states up for grabs in the Republican presidential contests.","Viser, Matt",2012-03-07,"Romney wins big, but rivals hang in",,Boston Globe,,1251,Romney
1257," THE ILLEGAL immigrants who dragged mowers and hedge clippers onto the lawn of Mitt Romney's Belmont estate, working long days under an exploitative boss before moving down the street to do the same thing at his son Tagg Romney's home, are at least closer to the real issue than other illegal-immigrant fantasies presented during last week's Republican presidential debate.",,2011-10-23,GOP demonization of illegals distorts real immigration picture,Editorial,Boston Globe,617.0,1257,Romney
1260, The more conservative candidates in the race will be scrambling for the support of the evangelical Christians who fueled Huckabee's candidacy in 2008 and helped the former pastor deliver a devastating defeat of Romney in the Iowa caucuses.,"Rowland, Christopher",2011-05-15,"`Heart says no,' Huckabee admits, in ruling out 2012 run",National,Boston Globe,764.0,1260,Romney
1265," Garon challenged Romney, saying, If two men get married, apparently a veteran's spouse would not be entitled to any burial benefits or medical benefits or anything that the serviceman has devoted his time and effort to his country, and you just don't support equality in terms of same-sex marriage? Romney reiterated his support for the Defense of Marriage Act, and added, And we apparently disagree. Cruise to Turkey, Greece eye-opening, Gingrich says MANCHESTER, N.H. - Newt Gingrich, whose luxury cruise to Turkey and Greece in late spring was partially blamed by some former staffers for the turbulent start to his presidential campaign, said yesterday the vacation provided him insight into the emerging European financial crisis.","Viser, Matt",2011-12-13,"Romney, voter tangle on same-sex marriage issue",National,Boston Globe,1031.0,1265,Romney
1268," [...] while officials grapple with new proposals to reduce insurance premiums, this year's Republican presidential candidates are flooding the airwaves with bogus assertions about Massachusetts' ""RomneyCare"" health plan. Because RomneyCare was the model for ObamaCare, Mitt Romney's rivals are intent on discrediting it.",,2012-02-11,"In his attacks on `RomneyCare,' Santorum paints a false picture",Editorial,Boston Globe,522.0,1268,Romney
1281," GOP hopefuls talk about their faith and values Six Republican presidential candidates for president talked about how their religious faith influences their public life, during a free-flowing forum before an audience of social conservatives in Iowa yesterday.","Levenson, Michael",2011-11-20,Romney speaks out on aides' action,National,Boston Globe,502.0,1281,Romney
1283," CANTON, Ohio - Mitt Romney and Rick Santorum were running neck-and-neck in this vital battleground state Monday, the eve of the biggest day of voting yet, as each scrambled to secure a win that could define the next phase of a volatile Republican nominating contest. The results on Tuesday night - in states ranging from Massachusetts to Alaska and Vermont to Georgia - will go a long way toward determining whether the Republican presidential contest is drawing closer toward a conclusion, or whether one of the most unpredictable races in a generation has yet another unexpected turn.","Viser, Matt; Bobby Caina Calvan",2012-03-06,Votes in key states today may reshape GOP race,National,Boston Globe,1258.0,1283,Romney
1290," ""[...] we established incentives for those who were uninsured to buy insurance,"" Romney wrote.","Tracy, Jan",2012-03-06,Romney health care op-ed cited,National,Boston Globe,292.0,1290,Romney
1297," Healey, who was once Romney's liaison to municipal officials in Massachusetts, earned a doctorate from Trinity College in Dublin, where she wrote on human rights in Ireland and the impact of international law on the interpretation of those rights. Since losing her gubernatorial bid to Deval Patrick, Healey has generally stayed out of the public eye.","Viser, Matt",2011-07-08,Healey a familiar face in the inner circle,National,Boston Globe,694.0,1297,Romney
1304," Aides said the president had signed off on a plan to dispatch Cabinet officials, senior advisers at the White House, and top campaign staff members to make clear to donors that they should support Priorities USA Action, the leading Democratic super PAC, whose fund-raising has been dwarfed by Republican groups.","Schoenberg, Shira",2012-02-07,Nev. caucus tally gives Romney 50% of vote,National,Boston Globe,895.0,1304,Romney
1315," HANOVER, N.H. - Eight Republican presidential hopefuls debated the issue voters care most about - the economy - as they lightly squabbled last night over whose approach on Chinese trade policy, health care, and tax reform would best get the country's economy growing again. [...] I thought it was the price of a pizza when I heard about it.","Viser, Matt; Schweitzer, Sarah",2011-10-12,Rivals focus on Romney in N.H. debate,National,Boston Globe,1336.0,1315,Romney
