,author,date,section,word_count,abstract,headline,source,subjects
590,"Mascaro, Lisa; Hennessey, Kathleen","Feb 19, 2011",LATExtra; Part AA; National Desk,941," With funding set to expire March 4, House Minority Leader Nancy Pelosi (D-San Francisco) offered a proposal late Friday to extend spending at current levels through March 31 to give Congress more time to seek a compromise. Several federal agencies, including the Department of Homeland Security, the Internal Revenue Service and the Social Security Administration, warned that the historic cuts approved by House Republicans would have adverse effects if enacted.",Odds grow for federal shutdown; GOP's push for steep cuts dims hopes for a spending plan soon,Los Angeles Times,"Shutdowns, Debates, Political leadership, Federal budget, Government spending, Bills"
591,"Abcarian, Robin","May 8, 2011",Main News; Part A; National Desk,1253," In the first three months of 2011, legislators in 49 states introduced 916 measures related to reproductive issues, according to the Guttmacher Institute, a New York nonprofit research organization that supports abortion rights but is viewed by both sides of the debate as providing reliable statistics on the issue. According to the Guttmacher Institute, about 1.2 million abortions are performed in the U.S. each year, most involving women in their 20s.","Abortion is the hot topic; Since GOP gains last fall, bills to restrict the procedure have inundated statehouses.",Los Angeles Times,"Pro life movement, Abortion, Legislation, Medical imaging, Reproductive health, Conservatism, Womens health, Health services"
592,"Riccardi, Nicholas","Apr 12, 2011",Main News; Part A; National Desk,738," A three-judge panel of the U.S. 9th Circuit Court of Appeals agreed with a federal judge in Arizona who found that provisions of the law, known as SB 1070, were an unconstitutional intrusion into immigration and foreign policy, which is the prerogative of the federal government.",THE NATION; Judge's ban on Arizona's immigration law is upheld; An appellate panel agrees that parts of SB 1070 intrude on federal policy. A battle in the Supreme Court may be next.,Los Angeles Times,"Litigation, Enforcement, Bans, Aliens, Civil rights, Federal court decisions, Immigration policy"
593,"Rutten, Tim","Jan 25, 2011",Calendar; Part D; Entertainment Desk,1086," There's a character recognizable as White House political advisor David Axelrod; a Republican woman called ""the Barracuda"" who is supposed to be Sarah Palin; and a number of other familiar characters, including a caricature of Arianna Huffington, whose news aggregating website throws a particularly difficult roadblock into O's reelection effort when it publishes a foreign ""citizen journalist's"" account of a self-interested financier's leaked scandal.",BOOK REVIEW; Give 'O' a big fat zero,Los Angeles Times,"Books -- O: A Presidential Novel, Novels"
594,"Lopez, Steve","Jun 22, 2011",Main News; Part A; Metro Desk,1015," [...] let's go to Baltimore, where Villaraigosa, the new chief of the U.S. Conference of Mayors, sounded off last week about how building bridges ""in Baghdad and Kandahar and not Baltimore and Kansas City absolutely boggles the mind."" What an excellent segue to Costa Mesa, where the police chief resigned this week and accused City Council members of lying about a fiscal crisis in order to dump half the city's work force.","A summer under siege; As we continue to pay for wars overseas, battles rage over Southern California backyards, local budgets and L.A.'s beloved Dodgers.",Los Angeles Times,"Cities, Mayors, Budget deficits"
595,"Lee, Don","Aug 6, 2011",Main News; Part A; Business Desk,1176," The nation added 117,000 jobs last month and the official unemployment rate dipped slightly, but the underlying data in the latest government report provided more evidence of the economy's continuing weakness and stoked fears of another recession. Unless there's a sharp upturn in confidence, Farmer said, the waning sentiment among investors is certain to produce a negative wealth effect, a situation in which consumers, feeling poorer from paper losses in declining stocks, cut back on spending.","Employment growth is no mood lifter; Jobless data show more giving up the hunt, while S&P; downgrades the nation's debt rating.",Los Angeles Times,"Credit ratings, Economic conditions -- United States--US, Unemployment, Recessions, Economic indicators, Job creation"
596,"Nicholas, Peter","May 22, 2011",Main News; Part A; National Desk,967," Obama is proof of the durable bond between Jewish voters and Democratic presidential candidates. Jewish voters tend to be turned off by the party's conservative position on social issues, said Ira Forman, co-editor of the book ""Jews in American Politics.""",THE NATION; GOP sees an opening on Israel policy; Republicans try to use Obama's speech to woo voters -- not necessarily Jewish.,Los Angeles Times,"Speeches, Political campaigns, Presidential elections, Candidates, Foreign policy, International relations-US -- Israel"
597,"Nicholas, Peter; Mascaro, Lisa","Sep 13, 2011",Main News; Part A; National Desk,926," Republicans insisted they would not support what they characterized as tax increases. Because little has happened to alter the political dynamics in Washington since those negotiations, Obama appears to be following a political strategy that does not rely on Republicans having a change of heart.",THE NATION; GOP objects to Obama's plan to fund jobs package,Los Angeles Times,"Tax increases, Natural gas utilities, Payroll taxes, Tax rates, Bills, Presidents"
598,Anonymous,"Apr 8, 2011",Main News; Part A; National Desk,100,,NATIONAL BRIEFING; HAWAII; Obama's friend faces charges,Los Angeles Times,
599,,"Oct 1, 2011",Main News; Part A; Letters Desk,436," According to Wolf, Republican economic views are somehow negated because House Speaker John Boehner tried to restrict abortion rights.",POSTSCRIPT; Who's being partisan?,Los Angeles Times,"Tax increases, Leadership, Abortion, Bills"
600,"Whipp, Glenn","Apr 7, 2011",Calendar; Part D; Entertainment Desk,807," [...] even without seeing questing knights Danny McBride and Franco passing the pipe and ""sharing a vision"" with a freaky-looking puppet, you know ""Your Highness"" is blazing a trail far, far away from the days when the 1936 anti-weed camp classic ""Reefer Madness"" warned of the dangers Infidelity! From the opening montage of high-schoolers (Sasha Jenson, left, with Matthew McConaughey) sparking up to celebrate the last day of school to the final meeting of the ""joint sub-committee"" on the football field's 50-yard-line, ""Dazed and Confused"" more than lives up to its title, chronicling the wasted days and wasted nights of a group of teens in a small Texas town.",AT THE MOVIES; Gone to pot,Los Angeles Times,"Motion pictures, Popular culture, Marijuana"
601,"Williams, Carol J","Sep 30, 2011",LATExtra; Part AA; Metro Desk,719,,"CALIFORNIA; Ruling on gays in military is struck down; Federal appeals panel rejects a finding that 'Don't Ask, Don't Tell' was unconstitutional.",Los Angeles Times,
602,"Romney, Lee","Jan 1, 2011",LATExtra; Part AA; Metro Desk,1306," The unions that represent hospital employees are working together to craft legislation that calls for high-security units at each hospital to house the most predatory patients, expedited hearings to involuntarily medicate those who are violent and a streamlined process to transfer dangerous criminals sent for treatment by the corrections system back to prison. Many arrive with gang affiliations, hard-to-treat antisocial personality disorders and predatory behavior, staff and mental health officials say.",More mental ward safety urged; Soaring violence at state hospitals spurs legislators and unions to seek new rules.,Los Angeles Times,"Hospital systems, Violence, Hospitals, Mental institutions, Prisons"
603,"Richter, Paul","Jun 8, 2011",Main News; Part A; Foreign Desk,386," In an Oval Office meeting Tuesday with Salman ibn Hamad Khalifa, Obama welcomed the kingdom's decision to lift emergency security measures that were imposed to quell the protests, as well as its announcement that the government and its opponents would begin talks on political reform, the White House said in a statement.",U.S. presses Bahrain on abuses; President Obama asks the crown prince to ease a crackdown on demonstrators.,Los Angeles Times,"Human rights, Politics, International relations-US"
604,"Engelhardt, Tom","Aug 2, 2011",Main News; Part A; Editorial Desk,800," According to news reports, he then gave a short speech ""warning"" that ""Western powers needed to 'proceed carefully'"" and emphasized that when it came to the war, there should ""be no rush for the exits.""",A war ceiling?,Los Angeles Times,"Foreign policy -- United States--US, Presidents, International relations-US, War"
605,"Magsaysay, Melissa","Sep 25, 2011",Image; Part P; Features Desk,751,,PEOPLE; BLACK AND BEAUTIFUL,Los Angeles Times,
606,"Parsons, Christi; Mascaro, Lisa; Skiba, Katherine","Nov 9, 2011",Main News; Part A; National Desk,887," With his arrival, Obama turned to a strategy that seemed to play to his new chief of staff's strengths -- reaching out to business leaders and trying to forge a ""grand bargain"" with Republicans over the federal budget deficit. [...] when the GOP -- heavily influenced by its tea party faction and emboldened by the election results -- adopted a hard stance, Daley found that the constant showdowns did not match up well with his preferred way of doing business.","New White House business plan; After struggling to adapt his style to Washington's ways, Chief of Staff William Daley delegates many of his daily duties.",Los Angeles Times,"Management styles, Presidents, Federal government, Advisors"
607,Anonymous,"Aug 8, 2011",Main News; Part A; Letters Desk,1226,,LETTERS; Lewis' contribution,Los Angeles Times,
608,"Nicholas, Peter; Mascaro, Lisa","Jun 16, 2011",LATExtra; Part AA; Foreign Desk,514," In the early stages of the conflict, the U.S. played a more direct role in the fighting, including launching cruise missiles in an effort to destroy Kadafi's forces. [...] the North Atlantic Treaty Organization and coalition partners have taken a more prominent role, the White House said.","Obama to stay course on Libya; Military operations will continue even if Congress doesn't approve, an aide says.",Los Angeles Times,"Foreign policy -- United States--US, Legal arguments, Military engagements, Armed forces"
609,Anonymous,"Aug 3, 2011",Main News; Part A; Letters Desk,1214,,LETTERS,Los Angeles Times,
610,"Zwahlen, Cyndia","Feb 21, 2011",Main News; Part A; Business Desk,701," Exporting can be daunting for small-business owners, but with the domestic economy still slow, it's tempting.","MONDAY BUSINESS; SMALL BUSINESS; Helping firms get over fear, hurdles in exporting; Federal and state programs can assist those looking to grow overseas",Los Angeles Times,"Small business, Recessions, US exports, Tariffs, International trade"
611,"Powers, Ashley; Hennessy-Fiske, Molly","Sep 8, 2011",Main News; Part A; National Desk,974," Lake Travis Fire Rescue Chief Jim Linardos, a Redondo Beach native who worked for years in the North Lake Tahoe area, said Central Texas faced some of the same wildfire risks as California, but lacked the fire-prevention efforts and resources that help California firefighters immediately tackle blazes. When the Bastrop blaze erupted Sunday, residents relied on nine volunteer fire departments, each staffed by about 30 firefighters, some of whom ended up working 52 hours straight with no air support, said Mike Fisher, the county's emergency management coordinator.\n",THE NATION; Texas officials plead for more help as fires persist,Los Angeles Times,"Firefighters, State budgets, Public officials, Fire stations"
612,Anonymous,"Mar 26, 2011",Main News; Part A; Letters Desk,1421,,LETTERS,Los Angeles Times,
613,"Mascaro, Lisa; Levey, Noam N","Jan 19, 2011",Main News; Part A; National Desk,837," Health and Human Services Secretary Kathleen Sebelius unveiled a report suggesting that as many as 129 million Americans with preexisting medical conditions could be unable to get insurance if the health law were repealed. Because many of those people get health benefits at work, they have some protection.",THE NATION; House starts toned-down health debate; The shooting of their colleague in Tucson has both parties showing restraint as they discuss repeal.,Los Angeles Times,"Patient Protection & Affordable Care Act 2010-US, Shootings, Bills, Assassinations & assassination attempts"
614,"Murphy, Kim","Oct 29, 2011",Main News; Part A; National Desk,669, [...] I believe Nebraskans are expecting our best efforts to determine if alternatives exist. [...] I will be calling a special session of the Nebraska Legislature to have a thoughtful and thorough public discussion about alternative solutions that could impact the route of the pipeline in a legal and constitutional manner.,Oil pipeline's route at issue; Nebraska's governor has called a special legislative session to discuss the project.,Los Angeles Times,"Oil spills, Pipelines, Environmental impact statements"
615,"Powers, Ashley","Nov 10, 2011",Main News; Part A; National Desk,521," [...] Hernandez has attended the State of the Union address, thrown the first pitch at Major League Baseball's All-Star game and recounted the events of Jan. 8 to groups around the country.",Former Giffords intern wins election; The aide praised for helping the stricken congresswoman prevails in an Arizona school board race.,Los Angeles Times,"School boards, Public figures, Politicians, First aid, Congressional elections, Assassinations & assassination attempts"
616,"Mason, Melanie","Oct 15, 2011",LATExtra; Part AA; National Desk,428," The $70 million raised this summer by President Obama enabled his campaign to increase its staff and spend heavily, reaching out to voters by mail, phone and online, according to campaign finance records filed with the Federal Election Commission.",Obama campaign cranks up spending,Los Angeles Times,"Presidential elections, Campaign expenditures, Political campaigns, Political finance"
617,"Hennigan, W J","Jan 11, 2011",Main News; Part A; Business Desk,984," An experimental spy plane with a wingspan almost the size of a Boeing 747's took to the skies over the Mojave Desert last week in a secret test flight that may herald a new era in modern warfare with robotic planes flying higher, faster and with more firepower. With the X-47B, which resembles a miniature version of the B-2 stealth bomber, a human pilot designs a flight path and sends it on its way; a computer program would guide it from a ship to target and back.","Drones becoming speedier, deadlier; The newest models of unmanned planes may become key parts of the Pentagon's arsenal.",Los Angeles Times,"Military aircraft, Unmanned aerial vehicles, Armed forces"
618,"West, Paul","Oct 7, 2011",Main News; Part A; National Desk,1045," Stuart Appelbaum, a New York labor leader whose union gave blankets to protesters in a Lower Manhattan park, said his conversations with the young people camped there convinced him that Occupy Wall Street wasn't interested in morphing into the sort of movement that the tea party has become.\n",THE NATION; A tea party for the other side?; Protesters say it's not their aim to morph into a similar political force for Democrats.,Los Angeles Times,"Government spending, Demonstrations & protests -- United States--US, Political activism"
619,"Mascaro, Lisa","Jun 28, 2011",Main News; Part A; National Desk,614," Debt-reduction talks between congressional leaders and the White House entered a crucial phase Monday, with no clear framework for resolving the deadlock over taxes and spending and a deadline for a potential federal default fast approaching.","THE NATION; President wades into debt talks; He meets with Senate leaders, but there's no sign that either side is budging from firm positions on taxes.",Los Angeles Times,"Legislators, Meetings, Taxes, Leadership, Agreements, National debt"
620,"Skelton, George","Sep 22, 2011",Main News; Part A; Metro Desk,877," According to the state finance department, families with adjusted gross incomes of between $1 million and $2 million, on average, paid an overall state tax rate of 8.4% in 2008, the last year for which data are available. [...] California relies heavily on rich investors for its income tax revenue, which fuels half of the general fund.",'Buffett Rule' a bust here; State's over-reliance on taxing the rich has been a disaster in bad times,Los Angeles Times,"Payroll taxes, Earnings, Tax rates, Social security taxes, State budgets, Tax planning, Volatility"
621,"Nicholas, Peter; Banerjee, Neela","Oct 29, 2011",Business; Part B; Business Desk,692," At the request of Republican-controlled congressional committees, the White House turned over thousands of emails, some of which showed administration officials rushing to approve the deal in time for a glitzy photo op.","GOVERNMENT; Shining a light on solar loans; Embarrassed by Solyndra, the White House will review renewable energy aid.",Los Angeles Times,"Solar energy, Loans, Government spending, Bankruptcy"
622,"Bennett, Brian","Aug 4, 2011",Main News; Part A; National Desk,475," The White House announced a strategy to help police, schools and other local organizations counter the threat of domestic radicalism, a broad plan involving federal departments not usually associated with national security.",A plan against domestic radicalism; The White House calls on federal agencies to aid police and local groups.,Los Angeles Times,"Shootings, National security, Murders & murder attempts, Nazi groups, Terrorism, Criminal investigations"
623,"Kaufman, Amy","Nov 4, 2011",Business; Part B; Business Desk,667," Last month, the studio scrapped plans to release ""Tower Heist"" via video on demand in two U.S. cities just three weeks after its theatrical launch after theater owners threatened not to show the film.",COMPANY TOWN; MOVIE PROJECTOR; 'Tower Heist' to swipe No. 1 spot; The Eddie Murphy comedy is expected to beat out the 'Harold &amp; Kumar' sequel.,Los Angeles Times,"Motion pictures, Ticket sales, Motion picture festivals"
624,Penn Jillette,"Oct 2, 2011",Main News; Part A; Editorial Desk,960," Because I wrote a book with ""Atheist"" in the subtitle and I go on political TV shows to hawk that book, well-groomed meat puppets frequently ask me why politicians like Michele Bachmann and Rick Perry are saying bugnutty Christian stuff. [...] every religious cult was afraid of every other religious cult.",Politics and the bugnut Christians,Los Angeles Times,"Religious right, Presidential elections, Church & state, Religion & politics, Christianity, Atheism, Religious cults, American history"
625,"Parsons, Christi","Oct 23, 2011",Main News; Part A; Foreign Desk,533," The death of the heir to the Saudi throne has cast a spotlight on the aging leadership of the key U.S. ally amid the upheaval of the ""Arab Spring"" rebellions in the Middle East.","Death comes amid shift for Saudis, U.S.; Relations with the key Mideast ally have grown more strained in recent years.",Los Angeles Times,"International relations-US -- Saudi Arabia, Royalty, Death & dying, Political leadership"
626,"Fleishman, Jeffrey; McDonnell, Patrick J","Oct 21, 2011",Main News; Part A; Foreign Desk,1421," Exultant Libyans celebrated by firing rifles into the air, a practice that highlights one of the nation's great challenges as it tries to build the democracy its new leaders and foreign allies say they desire -- how to collect thousands of weapons and rein in the militias that now impose order. Besides being awash in guns, post-Kadafi Libya has a provisional government that is struggling to accomplish its most basic functions and must surmount regional and tribal divisions.","A TYRANT FALLS; Free of Kadafi; Libyans rejoice at dictator's death; In a nation of heavily armed militias, the focus now turns to an uncertain future",Los Angeles Times,"Leadership, Fatalities, Islamism"
627,"Hennessey, Kathleen; Mascaro, Lisa","Jul 31, 2011",Main News; Part A; National Desk,1200," The potential deal that was in the works late Saturday would include an agreement to raise the debt ceiling by at least the $2.4 trillion that President Obama had requested without requiring a second round of congressional approval Republicans had sought, according to a Democratic official familiar with the talks who spoke on condition of anonymity to discuss the negotiations. Vice President Joe Biden was the main go-between in talks involving the White House and congressional leaders, including Senate Republican leader Mitch McConnell of Kentucky.",Reid hopeful last push will seal debt deal; Senator plans a key vote Sunday in a test of whether a political center can be found.,Los Angeles Times,"Federal budget, Government spending, Bills, National debt, Leadership"
628,Anonymous,"Jul 1, 2011",Main News; Part A; Letters Desk,1282,,LETTERS,Los Angeles Times,
629,"Flint, Joe","May 12, 2011",Business; Part B; Business Desk,404, Cable giant Comcast Corp. has hired Federal Communications Commissioner Meredith Attwell Baker as senior vice president of government affairs for its NBCUniversal unit.,COMPANY TOWN; FCC commissioner is hired by Comcast; Meredith Attwell Baker will handle government affairs for NBCUniversal.,Los Angeles Times,"Appointments & personnel changes, Executives"
630,"Puzzanghera, Jim","Aug 13, 2011",Main News; Part A; Business Desk,1074," The White House said late Friday that the president has assembled an economic team ""with more public policy experience in creating jobs and turning deficits into surpluses than at any time in recent history."" Summers, whose reputation added weight to White House policies, has been replaced as head of the National Economic Council by Gene B. Sperling, a respected veteran of the Clinton administration but not an economist by training.",Obama left short-handed on economy; Key departures have cost the president's team of advisors badly needed expertise and persuasive influence.,Los Angeles Times,"Economic policy, Recessions, Securities markets, Economists"
631,"Hennessey, Kathleen","Nov 19, 2011",LATExtra; Part AA; National Desk,619," The vote came 16 years after an amendment failed to pass Congress by 1 vote in the Senate, but the intervening years have put the amendment further out of reach.",House rejects amendment to balance federal budget; The vote comes 16 years after a similar measure fell short by 1 vote in the Senate.,Los Angeles Times,"Federal budget, Bills, Constitutional amendments, Budget deficits"
632,"King, Laura","Jan 16, 2011",Main News; Part A; Foreign Desk,343," Despite a planned Western expenditure of about $20 billion all told over 2010 and 2011, the effort to bring the Afghan security forces up to an acceptable standard faces many obstacles, including illiteracy, drug abuse, discipline issues and high dropout rates among recruits in the Afghan army and, especially, the police.",WORLD; Unfriendly fire erupts on 2 fronts; Marine kills an Afghan policeman,Los Angeles Times,"Police, Shootings, Casualties, Military personnel"
633,,"Nov 30, 2011",Business; Part B; Business Desk,44,,BUSINESS BRIEFING; CONSUMERS; Campaign fights fake products,Los Angeles Times,
634,"Cloud, David S; Nicholas, Peter","Apr 28, 2011",Main News; Part A; Foreign Desk,1596," President Obama is overhauling his national security team with both foreign policy challenges and domestic politics in mind, but the personnel moves illustrate an effort chiefly to build a team that can regain the initiative in the unpopular war in Afghanistan.",Obama shakes up top security posts; Gen. Petraeus will be the new CIA chief as Leon Panetta heads to the Pentagon to replace Robert Gates.,Los Angeles Times,"Appointments & personnel changes, National security, Leadership"
635,"Geiger, Kim","Oct 26, 2011",LATExtra; Part AA; National Desk,500," President Obama got a taste of Los Angeles traffic Tuesday on his way to NBC's studios in Burbank, where he taped an interview with Jay Leno before jetting to San Francisco to raise more money for his reelection campaign.","Obama chats with Leno, raises cash",Los Angeles Times,"Fund raising, Presidents, Talk show hosts, Television programs -- Tonight Show, The"
636,"McMANUS, DOYLE","Jul 17, 2011",Main News; Part A; Editorial Desk,1046," [...] to bring peace to South Sudan and Darfur, the Obama administration has had to offer Khartoum positive incentives -- promises that sanctions could be lifted if Sudan's behavior improves. [...] Bashir isn't the only threat to peace.",A deal with the Khartoum devil?,Los Angeles Times,"Foreign policy -- United States--US, War crimes, International relations-US -- Sudan, Peace negotiations, Sanctions"
637,"Banks, Sandy","Jan 8, 2011",Main News; Part A; Metro Desk,986," [...] we didn't know what we could do. Freedom Riders by Stanley Nelson is a riveting look at the front lines of what Helen Singleton remembers as a dangerous adventure -- the venom, the courage, the political maneuvers, the rifts in a splintering civil rights movement.",Taking a trip into history with the Freedom Riders; A documentary is helping to renew interest in civil rights campaign,Los Angeles Times,"Civil rights movement, College students, Activists, Motion pictures -- Freedom Riders, Documentary films"
638,"Pugmire, Lance","Apr 21, 2011",Sports; Part C; Sports Desk,326," Pacquiao (52-3-2, 38 knockouts) is being urged by his decorated trainer Freddie Roach to become the first man to ever knock out the 39-year-old Mosley (46-6-1, 39 KOs) on the heels of the former three-division world champion's most recent lopsided loss by decision to Floyd Mayweather Jr. and a sluggish draw in September versus Sergio Mora.",National pride motivates Pacquiao; He doesn't want to let his countrymen in Philippines down in fight against Mosley.,Los Angeles Times,Boxing
639,"Hiltzik, Michael","Jun 19, 2011",Business; Part B; Business Desk,1322," Putting Social Security's income stream on the negotiating table for the first time in more than half a century simply provided a new opportunity for attacks on the program's stability from those who would love to see it disappear -- to be replaced, no doubt, by a privatized investment program that would profit Wall Street hucksters at the expense of everyone else. (Surprise!) This time the talk is of extending the one-time-only cut for workers, whose FICA deductions dropped to 4.2% from 6.2% of covered pay, and throwing in a similar break for employers, who also pay 6.2% of covered payroll.",Payroll tax cuts hurt the needy,Los Angeles Times,"Social security, Unemployment, Low income groups, Gross Domestic Product--GDP, Payroll taxes, Employment"
640,Anonymous,"Jan 1, 2011",Main News; Part A; Editorial Desk,414," Exposure to any tobacco smoke causes inflammation and introduces toxic chemicals into the body, increasing the risk of many diseases in addition to the lung cancer and emphysema commonly associated with smoking. [...] the report says, tobacco companies have tinkered with their products to make them more addictive, delivering bigger doses of nicotine more quickly while reducing the burning sensation that can discourage smoking.",The anti-smoking state,Los Angeles Times,"Smoking, Polls & surveys, Editorials -- Smoking"
641,Anonymous,"Aug 4, 2011",Main News; Part A; National Desk,64,,"NATIONAL BRIEFING / WASHINGTON, D.C.; White House fence-jumper",Los Angeles Times,
642,"Willsher, Kim","May 26, 2011",Main News; Part A; Foreign Desk,622," The IMF has been looking for a new managing director since Dominique Strauss-Kahn, a 62-year-old Frenchman, stepped down last week after his indictment on sexual assault charges that sprang from the alleged attempted rape of a New York hotel housekeeper.",THE WORLD; France's Lagarde starts IMF run; The finance minister would be the first woman to head the global organization.,Los Angeles Times,"Economic summit conferences, Sex crimes, Leadership, International finance"
643,,"Oct 31, 2011",Main News; Part A; Editorial Desk,365," [...] Crossroads GPS, which spent more than $17 million in 2010 to elect Republicans to Congress, claims to be a social welfare organization -- which gives it tax- exempt status and allows it to conceal the identities of its donors.","Politics, money and taxes",Los Angeles Times,"Congressional elections, Campaign expenditures, Editorials -- American Crossroads (political organization), Tax exempt organizations, Political finance"
644,"Rutten, Tim","Apr 23, 2011",Main News; Part A; Editorial Desk,750," There've been cases in history when it all started with sending in military advisors, and then it dragged out for years and resulted in hundreds and thousands dead on both sides. [...] as security analyst Anthony H. Cordesman pointed out this week, the announcement that British and French military advisors are going to help is not going to alter that situation quickly.",'Mission creep' sets in in Libya,Los Angeles Times,"International relations-US -- Libya, Rebellions"
645,"Puzzanghera, Jim","Aug 3, 2011",Main News; Part A; Business Desk,478," Fitch and Moody's described the legislation as a first step toward the deep deficit reduction needed to maintain the nation's triple-A rating. [...] Moody's changed its outlook for the nation's credit rating Tuesday to negative, meaning that there was a risk of a downgrade.","Moody's, Fitch affirm their triple-A credit ratings for U.S.; The two firms say they could downgrade if the nation's fiscal situation worsens.",Los Angeles Times,"Credit ratings, National debt, Budget deficits"
646,Anonymous,"Jul 21, 2011",LATExtra; Part AA; News Desk,66,,"LATE BRIEFING; WASHINGTON, D.C.; Marine to get Medal of Honor",Los Angeles Times,
647,"Reynolds, Christopher; Martin, Hugo","May 3, 2011",Business; Part B; Business Desk,590," The alert warned Americans traveling to places ""where recent events could cause anti-American violence"" to limit their time outside of their homes and hotels and avoid mass gatherings and demonstrations.",Most travelers going ahead with plans; Tour operators make few changes despite concern after Osama bin Laden's death.,Los Angeles Times,"Americans abroad, Travel, Tourism -- Middle East, Terrorism, Assassinations & assassination attempts"
648,"West, Paul","Feb 13, 2011",Main News; Part A; National Desk,977," In line with their tea-party-inspired focus on fiscal conservatism, the 2012 contenders expressed strong support for a balanced budget amendment to the Constitution, repeal of ""Obamacare"" and steep cuts in federal spending like those proposed by House Republicans last week at the insistence of tea-party-backed lawmakers.",'Tea party' concerns top agenda; Potential presidential candidates appeal to the Republican base at an annual gathering of conservatives.,Los Angeles Times,"Presidential elections, Conservatism, Political activism"
649,"Abcarian, Robin","Jun 20, 2011",Main News; Part A; National Desk,1076," Incorporating previously unseen footage from her childhood and early years as an elected official, ""The Undefeated"" focuses on Palin's rise to prominence in Alaska as a Republican operating outside the party's traditional men's club power structure. Once she became governor, she worked across party lines to renegotiate deals with oil companies, bringing in billions of dollars of new revenue for the state.","THE NATION; Sarah Palin through a conservative lens; A Laguna Beach businessman hopes his documentary, a paean to the GOP politician, will appeal to moderates.",Los Angeles Times,"Motion pictures, Governors, Documentary films, Oil fields"
650,"King, Laura","Oct 3, 2011",Main News; Part A; Foreign Desk,1066," To frontline soldiers -- about 90,000 Americans, plus their Western and Afghan allies -- the battle with the Taliban and other insurgents is a grimly visceral affair that plays out daily, one roadside bombing, nighttime raid or dangerous foot patrol at a time.",Afghan war's many fronts thwart U.S.; Militants' shifts and contradictions paired with questions about Pakistan make it hard to discern the real foe.,Los Angeles Times,"Councils, Peace negotiations, Leadership, Suicide bombings, War, Assassinations & assassination attempts"
651,"Savage, David G; Goldmacher, Shane","Jan 19, 2011",LATExtra; Part AA; Metro Desk,648," Chief Justice John G. Roberts Jr., among others, has been skeptical of the notion that when the federal government provides public money for benefits such as health or education, federal law authorizes suits by those unhappy with the level of spending.",Justices to weigh cuts to Medi-Cal; U.S. Supreme Court will decide if the state can reduce what it pays providers for care of the needy.,Los Angeles Times,"Litigation, Hospitals, Budget deficits"
652,"Memoli, Michael A","Nov 25, 2011",Main News; Part A; National Desk,215," The White House released the first family's holiday menu: turkey, ham, corn bread stuffing, oyster stuffing, greens, macaroni and cheese, sweet potatoes, mashed potatoes, green bean casserole and dinner rolls.",Obamas feast on holiday favorites,Los Angeles Times,"Food, Cooking, Thanksgiving"
653,"Rainey, James","Jul 30, 2011",Calendar; Part D; Entertainment Desk,1031," Most of the people in the room at NPR said his dispute with the radio network had much more to do with his tone and preparation than the right-left political divide that the commentator insists triggered his demise. Like the Postal Service, public radio can be loathed and have its funding threatened in concept, but in reality it turns out the folks back home are quite fond of their local member station. [...] Williams' profile -- he's a full time commentator now on Fox -- has never been higher.",ON THE MEDIA; Juan Williams' victory lap,Los Angeles Times,"Books -- Muzzled: The Assault on Honest Debate, Muslims, Radio networks, Nonfiction, Public radio"
654,"Puzzanghera, Jim","May 25, 2011",Business; Part B; Business Desk,895," U.S. taxpayers got their first look at the potential payback from the bailout of giant insurer American International Group Inc., and so far it looks like a break-even proposition. [...] AIG retains a strong Southern California presence with subsidiaries SunAmerica Inc. of Los Angeles, which sells retirement annuities, and International Lease Finance Corp. of Century City, which leases aircraft.",INVESTING; U.S. on track to recoup AIG aid; Taxpayers make a small profit on the insurer's first post-bailout stock sale.,Los Angeles Times,"Repayments, Bailouts, TARP funds, Equity stake, Central banks, Stock prices"
655,"Petruno, Tom","Jul 14, 2011",Business; Part B; Business Desk,500, Moody's warning Wednesday followed the latest signs that talks between the White House and Republican leaders on the debt ceiling and spending cuts remain at an impasse.,GOVERNMENT; U.S. risks lower bond rating,Los Angeles Times,"Economic statistics, National debt, Bond ratings, Treasury bonds"
656,"Cloud, David S","May 7, 2011",LATExtra; Part AA; Foreign Desk,844," Awlaki's name was added last year to a secret list of targets that the CIA is authorized to kill after the Obama administration concluded that the charismatic cleric, known for his fiery sermons circulated on militant websites denouncing the U.S., had taken on an operational role in attempted terrorist attacks.","Cleric was target of U.S. strike; Awlaki escaped the drone attack in Yemen, which killed two other suspects.",Los Angeles Times,"Military air strikes, Intelligence gathering, Government agencies, Clergy, Terrorism, Unmanned aerial vehicles"
657,Anonymous,"Jul 4, 2011",Main News; Part A; National Desk,245," The brief lays out the administration's position that sexual orientation is an ""immutable characteristic,"" that gays and lesbians are minorities with limited political power, and that sexual orientation has no bearing on someone's ability to contribute to society and advances no legitimate policy interest.",Lesbian's lawsuit wins key support,Los Angeles Times,"Marriage, Homosexuality, Gays & lesbians, Sexual orientation"
658,"Mehta, Seema","Nov 2, 2011",Main News; Part A; National Desk,705," Cain denies the accusations. The two men also plan to skip a Republican Party dinner in Des Moines on Friday, again leaving the state in the hands of candidates who are running well behind them in voter surveys.","Front-runners in Iowa skip economic forum; Without Romney or Cain, their Republican rivals look to gain a foothold in the early-voting state.",Los Angeles Times,"Presidential elections, Political parties, Economic growth, Primaries & caucuses"
